Dia,Generacion_Total,Demanda,BESS_Nivel,Beneficio_Acumulado,Vendida_Generacion,Vendida_BESS,Turbina_Habilitada,FO
43,46320.96,5165.56,979.9,-8260053.153000001,5165.56,0.0,1,50000.0
44,45024.0,3701.1714999999995,981.3,-8552234.578000002,3701.1714999999995,0.0,1,50000.0
45,43714.32000000001,5608.31,974.8,-8735962.278,5608.31,0.0,1,50000.0
46,15328.16,4476.52,982.5,-8685417.878,4476.52,0.0,1,0.0
47,47696.16,3655.73,975.1999999999999,-9006592.978,3655.73,0.0,1,0.0
48,50658.0,4448.22,982.1999999999999,-9317761.978,4448.22,0.0,1,50000.0
49,44641.372800000005,5227.19,979.1,-9529816.206,5227.19,0.0,1,50000.0
50,18592.64,4318.27,978.8,-9519829.106,4318.27,0.0,1,0.0
51,43614.0,3541.27,986.3,-9805905.606,3541.27,0.0,1,0.0
52,16805.84,4613.041,978.4000000000001,-9763311.956,4613.041,0.0,1,0.0
53,49380.479999999996,4527.2395,989.0,-10057754.781000001,4527.2395,0.0,1,0.0
54,46064.16,4070.97,971.6,-10341847.881000001,4070.97,0.0,1,50000.0
55,39080.9376,3629.24,986.9,-10578195.257000001,3629.24,0.0,1,50000.0
56,43479.30959999999,4106.13,981.1999999999999,-10834681.853,4106.13,0.0,1,50000.0
57,18680.239999999998,4090.34,987.1,-10836967.253,4090.34,0.0,1,0.0
58,43214.880000000005,6370.54,983.1999999999999,-10977589.053000001,6370.54,0.0,1,0.0
59,44433.119999999995,3828.8904999999995,980.8,-11257475.728,3828.8904999999995,0.0,1,50000.0
60,43946.880000000005,4106.7,982.6,-11518609.528,4106.7,0.0,1,50000.0
61,42767.52,6030.945,983.1,-11671737.478,6030.945,0.0,1,50000.0
62,47286.00000000001,4083.26,989.9,-11967434.478,4083.26,0.0,1,50000.0
63,18393.68,3789.37,982.8,-11981902.778,3789.37,0.0,0,0.0
64,33552.24,3900.09,979.3,-12149420.678000001,3900.09,0.0,0,0.0
65,31707.600000000002,3184.58,982.4000000000001,-12334267.678000001,3184.58,0.0,0,50000.0
66,46964.64,4344.62,986.0,-12613683.078000002,4344.62,0.0,1,50000.0
67,46113.36,3975.46,975.8,-12903043.678000001,3975.46,0.0,1,50000.0
68,47881.67999999999,4515.866,977.6,-13183067.178000001,4515.866,0.0,1,50000.0
69,43642.32000000001,5179.438999999999,971.4000000000001,-13387518.428000001,5179.438999999999,0.0,1,50000.0
70,40644.72,4053.71,973.6,-13618280.128,4053.71,0.0,1,50000.0
71,42544.56,3803.464,982.9,-13880552.528,3803.464,0.0,1,50000.0
72,50286.95999999999,3864.86,983.6,-14217179.128,3864.86,0.0,1,50000.0
73,44885.52,5089.74,989.1,-14438547.328,5089.74,0.0,1,50000.0
74,39766.32000000001,3975.5615,984.3,-14664432.453,3975.5615,0.0,1,50000.0
75,42731.520000000004,4324.13,987.3,-14902541.152999999,4324.13,0.0,1,50000.0
76,41674.40639999999,3724.67,981.5,-15160051.716999998,3724.67,0.0,1,50000.0
77,45770.64,5077.79,989.0,-15390868.616999999,5077.79,0.0,1,50000.0
78,45156.479999999996,3701.34,980.1999999999999,-15684366.417,3701.34,0.0,1,50000.0
79,43481.04,5198.793499999999,977.0,-15886237.141999999,5198.793499999999,0.0,1,50000.0
80,39601.44,3536.13,981.1999999999999,-16132445.042,3536.13,0.0,1,50000.0
81,41478.5472,4005.18,986.1,-16373971.513999999,4005.18,0.0,1,50000.0
82,40380.3384,4196.05,972.4000000000001,-16594972.397999998,4196.05,0.0,1,50000.0
83,40805.76000000001,5101.353999999999,979.1,-16774962.298,5101.353999999999,0.0,1,50000.0
84,40623.119999999995,3174.26,976.9,-17049480.498,3174.26,0.0,1,50000.0
85,43661.712,4953.73,978.3,-17265411.118,4953.73,0.0,1,50000.0
86,44239.2,4129.07,981.1,-17528349.618,4129.07,0.0,1,50000.0
87,46154.40000000001,4134.410999999999,979.8,-17810173.068,4134.410999999999,0.0,1,50000.0
88,45466.8,5479.84,986.1999999999999,-18017849.068,5479.84,0.0,1,50000.0
89,42138.24,5122.39,982.8,-18210111.968,5122.39,0.0,1,50000.0
90,42348.240000000005,3474.6214999999997,980.9,-18486863.292999998,3474.6214999999997,0.0,1,50000.0
91,15999.68,3828.67,984.9,-18475426.593,3828.67,0.0,1,0.0
92,43024.8,4194.6365,977.7,-18722942.768,4194.6365,0.0,1,0.0
93,48833.520000000004,3969.3285,981.6,-19039811.542999998,3969.3285,0.0,1,50000.0
94,44251.44,5320.53,970.6,-19243299.442999996,5320.53,0.0,1,50000.0
95,18518.48,5734.18,970.3000000000001,-19161775.242999997,5734.18,0.0,1,0.0
96,41933.52,4600.35,975.6,-19378092.942999996,4600.35,0.0,1,0.0
97,46882.08,4195.51,972.5,-19664138.242999997,4195.51,0.0,1,50000.0
98,21081.920000000002,3946.69,972.0999999999999,-19697622.942999996,3946.69,0.0,1,0.0
99,45011.520000000004,4273.31,980.1999999999999,-19961072.642999995,4273.31,0.0,1,0.0
100,50331.840000000004,3696.99,981.8,-20306541.542999994,3696.99,0.0,1,50000.0
101,50095.68,3258.03,972.873,-20671596.842999995,3258.03,0.0,1,50000.0
102,50231.28,5046.7865,973.269,-20948570.317999996,5046.7865,0.0,1,50000.0
103,48040.8,3859.14,961.5870000000001,-21263021.317999996,3859.14,0.0,1,50000.0
104,43270.56,3874.35,962.379,-21529009.417999998,3874.35,0.0,1,50000.0
105,47759.28,6158.3994999999995,965.3489999999999,-21725682.242999997,6158.3994999999995,0.0,1,50000.0
106,43974.623999999996,3579.8694999999993,977.031,-22013435.007999994,3579.8694999999993,0.0,1,50000.0
107,47064.0,3670.53,978.2189999999999,-22327548.507999994,3670.53,0.0,1,50000.0
108,45476.64,5048.672499999999,969.804,-22556881.282999992,5048.672499999999,0.0,1,50000.0
109,43927.44,3236.62,974.6550000000001,-22861324.68299999,3236.62,0.0,1,50000.0
110,42328.1808,4032.79,980.199,-23109966.99099999,4032.79,0.0,1,50000.0
111,43868.880000000005,5891.955999999999,979.605,-23281057.99099999,5891.955999999999,0.0,1,50000.0
112,44064.479999999996,4350.83,971.982,-23531161.29099999,4350.83,0.0,1,50000.0
113,48881.52,3999.1825,977.625,-23847017.36599999,3999.1825,0.0,1,50000.0
114,20639.12,5628.14,970.101,-23792001.56599999,5628.14,0.0,1,0.0
115,14867.28,2875.51,963.468,-23816898.86599999,2875.51,0.0,1,0.0
116,41422.799999999996,4998.9005,971.487,-24008181.84099999,4998.9005,0.0,1,0.0
117,46905.59999999999,3779.43,961.7850000000001,-24315266.34099999,3779.43,0.0,1,50000.0
118,51257.520000000004,3543.63,977.724,-24677660.04099999,3543.63,0.0,1,50000.0
119,42278.4,6422.5775,967.725,-24806315.16599999,6422.5775,0.0,1,50000.0
120,45635.28,4033.45,976.14,-25087995.46599999,4033.45,0.0,1,50000.0
121,43103.520000000004,4041.84,962.082,-25343938.66599999,4041.84,0.0,1,50000.0
122,19754.239999999998,5522.8,975.15,-25285341.06599999,5522.8,0.0,1,0.0
123,39742.08,5658.57,974.457,-25426833.36599999,5658.57,0.0,1,0.0
124,46354.32,4280.38,960.993,-25703357.56599999,4280.38,0.0,1,50000.0
125,46973.76000000001,5037.48,973.3679999999999,-25948221.16599999,5037.48,0.0,1,50000.0
126,17278.16,3671.23,969.0120000000001,-25957441.26599999,3671.23,0.0,1,0.0
127,46587.840000000004,3656.01,972.3779999999999,-26267519.16599999,3656.01,0.0,1,0.0
128,51401.28,3266.2,975.744,-26645221.96599999,3266.2,0.0,1,50000.0
129,39823.44,6057.417999999999,971.982,-26767585.46599999,6057.417999999999,0.0,1,50000.0
130,46410.48,3383.85,978.516,-27089497.76599999,3383.85,0.0,1,50000.0
131,41036.159999999996,2751.12,966.6360000000001,-27389303.365999993,2751.12,0.0,1,50000.0
132,17413.04,4558.6804999999995,972.6750000000001,-27355499.740999993,4558.6804999999995,0.0,1,0.0
133,19405.44,5314.52,962.577,-27303828.14099999,5314.52,0.0,1,0.0
134,47594.159999999996,3216.84,968.22,-27645927.740999993,3216.84,0.0,1,0.0
135,45828.0,3696.99,977.2289999999999,-27946358.240999993,3696.99,0.0,1,50000.0
136,46312.08,3139.15,975.6450000000001,-28279521.540999994,3139.15,0.0,1,50000.0
137,38901.7032,6107.949,964.854,-28390141.122999996,6107.949,0.0,1,50000.0
138,15368.24,4038.21,971.289,-28361913.022999994,4038.21,0.0,1,0.0
139,41792.64,6529.446999999999,976.338,-28480367.07299999,6529.446999999999,0.0,1,0.0
140,49598.88,4244.741999999999,962.082,-28791118.77299999,4244.741999999999,0.0,1,50000.0
141,44249.5584,3856.0074999999997,964.755,-29067813.98199999,3856.0074999999997,0.0,1,50000.0
142,44160.9552,3382.79,964.854,-29367284.03399999,3382.79,0.0,0,50000.0
143,32627.760000000002,3433.61,960.399,-29548881.133999992,3433.61,0.0,0,50000.0
144,32071.44,4496.384999999999,973.566,-29671776.28399999,4496.384999999999,0.0,0,50000.0
145,49989.6,4185.8,967.032,-29989382.28399999,4185.8,0.0,1,50000.0
146,48398.64,4151.25,962.676,-30292806.18399999,4151.25,0.0,1,50000.0
147,43280.880000000005,5535.03,972.279,-30475863.48399999,5535.03,0.0,1,50000.0
148,45830.16,4092.46,965.448,-30756542.08399999,4092.46,0.0,1,50000.0
149,15355.76,3784.48,964.5569999999999,-30740875.683999993,3784.48,0.0,1,0.0
150,18570.48,5988.314499999999,971.982,-30647164.758999992,5988.314499999999,0.0,1,0.0
151,42232.08,5509.89,963.765,-30820991.058999993,5509.89,0.0,1,0.0
152,8711.695999999998,4162.25,967.923,-30719995.518999994,4162.25,0.0,1,0.0
153,44652.72,4016.21,968.319,-30992712.218999993,4016.21,0.0,1,0.0
154,47404.08,3776.84,963.072,-31304911.018999994,3776.84,0.0,1,50000.0
155,37896.72,5165.9,968.6160000000001,-31452583.218999993,5165.9,0.0,1,50000.0
156,43813.68,5472.01,970.992,-31644119.518999994,5472.01,0.0,1,50000.0
157,44977.2,5499.95,970.794,-31845894.018999994,5499.95,0.0,1,50000.0
158,45268.8,5789.36,978.714,-32036114.018999994,5789.36,0.0,1,50000.0
159,40042.08,5469.46,979.308,-32190061.818999995,5469.46,0.0,1,50000.0
160,42247.92,5191.4565,975.051,-32379968.193999995,5191.4565,0.0,1,50000.0
161,45836.16,4547.99,964.854,-32637930.293999996,4547.99,0.0,1,50000.0
162,44480.64,4595.710499999999,970.3979999999999,-32879951.168999996,4595.710499999999,0.0,1,50000.0
163,41370.479999999996,3795.74,971.586,-33130868.968999997,3795.74,0.0,1,50000.0
164,44471.520000000004,5228.9005,975.546,-33341139.144,5228.9005,0.0,1,50000.0
165,37860.479999999996,4224.81,971.1899999999999,-33535503.444,4224.81,0.0,1,50000.0
166,42560.16,4404.84,972.6750000000001,-33767863.044,4404.84,0.0,1,50000.0
167,42052.8,3596.142,971.784,-34035583.944,3596.142,0.0,1,50000.0
168,45353.76,3526.84,976.14,-34339779.544,3526.84,0.0,1,50000.0
169,46219.92,3526.81,979.506,-34652638.244,3526.81,0.0,1,50000.0
170,39947.04,3532.04,960.4979999999999,-34902506.644,3532.04,0.0,1,50000.0
171,46250.64,6213.093499999999,977.5260000000001,-35081358.369,6213.093499999999,0.0,1,50000.0
172,41519.520000000004,4420.599999999999,960.993,-35302523.569000006,4420.599999999999,0.0,1,50000.0
173,46767.36,4090.46,969.0120000000001,-35592674.16900001,4090.46,0.0,1,50000.0
174,45566.399999999994,2957.4,971.883,-35927468.16900001,2957.4,0.0,1,50000.0
175,46138.08,5262.35,977.328,-36152731.469000004,5262.35,0.0,1,50000.0
176,47153.520000000004,5345.107999999999,965.448,-36384011.26900001,5345.107999999999,0.0,1,50000.0
177,39410.880000000005,4097.5,960.696,-36600245.069000006,4097.5,0.0,1,50000.0
178,42283.92,5147.054999999999,966.24,-36792731.51900001,5147.054999999999,0.0,1,50000.0
179,15617.84,3998.297,971.289,-36768995.069000006,3998.297,0.0,1,0.0
180,45125.759999999995,6335.039499999999,978.021,-36930500.694000006,6335.039499999999,0.0,1,0.0
181,45063.4944,3301.26,978.714,-37243072.638000004,3301.26,0.0,1,50000.0
182,48827.76,4395.32,972.6750000000001,-37538584.238000005,4395.32,0.0,1,50000.0
183,17099.12,4607.313999999999,972.3779999999999,-37499209.738000005,4607.313999999999,0.0,1,0.0
184,47314.799999999996,5273.9,961.29,-37735662.738000005,5273.9,0.0,1,0.0
185,43516.69439999999,6564.913,978.4169999999999,-37869584.032000005,6564.913,0.0,1,50000.0
186,44346.0,3916.57,973.071,-38144215.532000005,3916.57,0.0,1,50000.0
187,45347.03999999999,5599.99,970.3979999999999,-38344686.432000004,5599.99,0.0,1,50000.0
188,43200.4128,5041.08,978.615,-38551636.56,5041.08,0.0,1,50000.0
189,18629.12,3877.18,979.7040000000001,-38564068.760000005,3877.18,0.0,1,0.0
190,14413.199999999999,4450.0515,966.3389999999999,-38505698.185,4450.0515,0.0,1,0.0
191,40659.36,3654.97,965.943,-38756543.285000004,3654.97,0.0,1,0.0
192,43437.6,4273.2275,968.8140000000001,-39004257.910000004,4273.2275,0.0,1,50000.0
193,40555.67999999999,3414.11,961.686,-39266109.21,3414.11,0.0,1,50000.0
194,47902.56,5067.2105,965.547,-39518774.285000004,5067.2105,0.0,1,50000.0
195,36738.2112,4461.55,975.942,-39690078.89700001,4461.55,0.0,1,50000.0
196,43737.600000000006,4529.09,973.3679999999999,-39928000.39700001,4529.09,0.0,1,50000.0
197,43795.68,4688.89,963.1709999999999,-40158512.697000004,4688.89,0.0,1,50000.0
198,45766.32,5102.584499999999,970.002,-40388046.672000006,5102.584499999999,0.0,1,50000.0
199,40150.56,4170.59,967.5269999999999,-40608022.77200001,4170.59,0.0,1,50000.0
200,37871.76,5110.18,962.28,-40758231.37200001,5110.18,0.0,1,50000.0
201,50675.28,4559.842,957.7537199999999,-41063992.072000004,4559.842,0.0,1,50000.0
202,15234.079999999998,3907.43,956.38158,-41040961.372,3907.43,0.0,1,0.0
203,37580.4,4425.66,955.00944,-41222482.372,4425.66,0.0,1,0.0
204,43320.902400000006,3813.21,965.0064600000001,-41492030.896,3813.21,0.0,1,50000.0
205,45935.28,4594.07,959.0278500000001,-41748680.195999995,4594.07,0.0,1,50000.0
206,46236.72,5682.52,950.59899,-41953921.396,5682.52,0.0,1,50000.0
207,39536.64,3884.08,961.67412,-42182083.796,3884.08,0.0,1,50000.0
208,39982.56,3798.49,962.65422,-42418984.896,3798.49,0.0,1,50000.0
209,46598.64,6015.868499999999,956.7736199999999,-42611177.871,6015.868499999999,0.0,1,50000.0
210,16410.32,4455.06,967.94676,-42572528.071,4455.06,0.0,1,0.0
211,45590.16,4256.37,955.69551,-42842611.171000004,4256.37,0.0,1,0.0
212,41963.520000000004,4221.06,963.8303400000001,-43078193.37100001,4221.06,0.0,1,50000.0
213,37823.759999999995,4108.08,954.1273500000001,-43278026.97100001,4108.08,0.0,1,50000.0
214,44109.119999999995,3858.52,964.4184,-43553192.17100001,3858.52,0.0,1,50000.0
215,15577.28,4869.5945,958.0477500000001,-43485485.24600001,4869.5945,0.0,1,0.0
216,15517.920000000002,4734.38,958.24377,-43423945.44600001,4734.38,0.0,1,0.0
217,45100.75199999999,4485.24,966.18258,-43677690.96600001,4485.24,0.0,1,0.0
218,45780.72,4378.32,955.1074500000001,-43943582.166000016,4378.32,0.0,1,50000.0
219,49276.8,5004.972499999999,955.40148,-44213101.541000016,5004.972499999999,0.0,1,50000.0
220,52287.36,6186.7125,961.67412,-44453639.51600002,6186.7125,0.0,1,50000.0
221,47789.52,3944.29,958.34178,-44761320.21600002,3944.29,0.0,1,50000.0
222,48831.6,3115.6,960.8900400000001,-45120856.21600002,3115.6,0.0,1,50000.0
223,36067.38,3570.9,959.81193,-45329985.01600002,3570.9,0.0,1,50000.0
224,46680.240000000005,3929.69,951.0890400000001,-45627302.916000016,3929.69,0.0,1,50000.0
225,44673.6,4032.79,955.8915300000001,-45899399.416000016,4032.79,0.0,1,50000.0
226,49043.76000000001,4085.02,958.63581,-46212586.01600002,4085.02,0.0,1,50000.0
227,17950.16,3387.4285,952.9512300000001,-46242716.19100002,3387.4285,0.0,1,0.0
228,15652.32,4087.48,965.59452,-46214865.391000025,4087.48,0.0,1,0.0
229,17298.239999999998,4039.21,961.38009,-46205887.29100002,4039.21,0.0,1,0.0
230,20709.12,3611.046,970.10298,-46252426.19100003,3611.046,0.0,1,0.0
231,47033.28,3902.5019999999995,957.36168,-46554633.891000025,3902.5019999999995,0.0,1,0.0
232,43995.12,4159.159,965.59452,-46813627.141000025,4159.159,0.0,1,50000.0
233,44817.6,5611.01,953.6373,-47008252.641000025,5611.01,0.0,1,50000.0
234,45319.2,4484.264,963.34029,-47264231.44100002,4484.264,0.0,1,50000.0
235,48635.280000000006,4171.8,962.36019,-47568994.24100002,4171.8,0.0,1,50000.0
236,42895.92,5339.16,970.0049700000001,-47757995.44100002,5339.16,0.0,1,50000.0
237,46200.0,4153.45,965.3985,-48039322.94100002,4153.45,0.0,1,50000.0
238,46296.24,3779.9,969.0248700000001,-48340290.34100002,3779.9,0.0,1,50000.0
239,17896.88,6051.691,969.3189,-48236674.59100002,6051.691,0.0,1,0.0
240,40937.803199999995,6167.0705,965.59452,-48364699.09800002,6167.0705,0.0,1,0.0
241,17844.32,3831.78,951.77511,-48371553.29800002,3831.78,0.0,1,0.0
242,12805.68,6368.1134999999995,967.0646700000001,-48201204.42300002,6368.1134999999995,0.0,1,0.0
243,47721.840000000004,5043.35,969.51492,-48453255.32300002,5043.35,0.0,1,0.0
244,43777.92,5260.8,969.61293,-48654994.523000024,5260.8,0.0,1,50000.0
245,47411.520000000004,3755.28,963.14427,-48968345.72300003,3755.28,0.0,1,50000.0
246,43866.24,4115.298,969.90696,-49228243.22300003,4115.298,0.0,1,50000.0
247,20858.72,4683.122,961.8701400000001,-49222674.32300003,4683.122,0.0,1,0.0
248,43890.479999999996,4139.678,968.3388,-49481595.22300003,4139.678,0.0,1,0.0
249,46218.0,4811.634499999999,956.18556,-49730193.498000026,4811.634499999999,0.0,1,50000.0
250,39131.635200000004,3905.27,959.71392,-49953246.350000024,3905.27,0.0,1,50000.0
251,46065.36,5131.45,963.24228,-50184327.450000025,5131.45,0.0,1,50000.0
252,19386.079999999998,3076.9,960.39999,-50244343.25000002,3076.9,0.0,1,0.0
253,43080.72,3102.98,966.2805900000001,-50547001.450000025,3102.98,0.0,1,0.0
254,44632.56,4779.8025,953.6373,-50781336.92500003,4779.8025,0.0,1,50000.0
255,43272.72,3368.18,960.79203,-51072655.12500003,3368.18,0.0,1,50000.0
256,47077.439999999995,4449.34,965.49651,-51347962.52500003,4449.34,0.0,1,50000.0
257,16024.400000000001,3112.35,969.8089500000001,-51372589.02500003,3112.35,0.0,1,0.0
258,46760.159999999996,3420.35,961.57611,-51696173.12500003,3420.35,0.0,1,0.0
259,40132.8,3757.31,967.8487500000001,-51936635.62500003,3757.31,0.0,1,50000.0
260,15759.920000000002,4276.17,955.98954,-51900426.32500003,4276.17,0.0,1,0.0
261,13246.800000000001,3679.76,952.3631700000001,-51868906.32500003,3679.76,0.0,1,0.0
262,40807.68,6370.528499999999,969.51492,-51985456.70000003,6370.528499999999,0.0,1,0.0
263,48546.479999999996,4108.28,957.26367,-52292507.50000003,4108.28,0.0,1,50000.0
264,43567.2,3270.62,966.57462,-52591648.50000003,3270.62,0.0,1,50000.0
265,17155.04,4307.66,951.0890400000001,-52567815.90000003,4307.66,0.0,1,0.0
266,36827.3592,3790.66,957.94974,-52773556.49200003,3790.66,0.0,1,0.0
267,45833.03999999999,2951.71,960.98805,-53111301.39200003,2951.71,0.0,1,50000.0
268,45796.799999999996,4721.025999999999,966.18258,-53360218.09200003,4721.025999999999,0.0,1,50000.0
269,46191.6,6165.495,963.53631,-53540859.34200003,6165.495,0.0,1,50000.0
270,47649.119999999995,3721.14,957.85173,-53858293.54200003,3721.14,0.0,1,50000.0
271,43911.36,4566.856999999999,961.38009,-54096064.29200003,4566.856999999999,0.0,1,50000.0
272,43160.64,4199.696499999999,969.7109399999999,-54344685.86700003,4199.696499999999,0.0,1,50000.0
273,43260.24,3472.5744999999997,957.45969,-54630659.542000026,3472.5744999999997,0.0,1,50000.0
274,48708.23999999999,3519.86,957.0676500000001,-54968748.942000024,3519.86,0.0,1,50000.0
275,45098.16,4072.27,963.34029,-55243117.042000026,4072.27,0.0,1,50000.0
276,16929.44,6538.7275,963.8303400000001,-55105475.067000024,6538.7275,0.0,1,0.0
277,14953.439999999999,3749.75,968.43681,-55087521.96700002,3749.75,0.0,1,0.0
278,44832.0,5705.56,963.0462600000001,-55277563.96700002,5705.56,0.0,1,0.0
279,46842.96,6225.111,963.0462600000001,-55461738.01700003,6225.111,0.0,1,50000.0
280,42261.36,4637.7085,950.697,-55679466.19200003,4637.7085,0.0,1,50000.0
281,51295.92,5369.396,962.94825,-55950955.59200004,5369.396,0.0,1,50000.0
282,20033.36,3907.47,957.16566,-55975915.69200004,3907.47,0.0,1,0.0
283,47801.520000000004,3017.65,966.96666,-56330048.39200004,3017.65,0.0,1,0.0
284,20443.52,2932.61,955.40148,-56407853.092000045,2932.61,0.0,1,0.0
285,43612.56,5365.42,959.81193,-56602707.69200005,5365.42,0.0,1,0.0
286,38297.04,3989.44,951.28506,-56813206.092000045,3989.44,0.0,1,50000.0
287,44817.6,3417.3,956.7736199999999,-57117517.092000045,3417.3,0.0,1,50000.0
288,47400.0,2958.76,954.02934,-57470579.092000045,2958.76,0.0,1,50000.0
289,46997.04,3412.4754999999996,964.0263600000001,-57796925.717000045,3412.4754999999996,0.0,1,50000.0
290,45446.16,3938.9,964.0263600000001,-58081442.31700005,3938.9,0.0,1,50000.0
291,47708.16,6486.701499999999,961.77213,-58261188.842000045,6486.701499999999,0.0,1,50000.0
292,47010.479999999996,3586.69,951.6771,-58578959.14200004,3586.69,0.0,1,50000.0
293,41508.240000000005,5315.81,969.3189,-58755251.04200004,5315.81,0.0,1,50000.0
294,47786.16,5262.35,955.8915300000001,-58996995.14200004,5262.35,0.0,1,50000.0
295,42678.96,3418.96,950.99103,-59279836.74200004,3418.96,0.0,1,50000.0
296,45490.32,3583.99,952.0691400000001,-59582540.44200005,3583.99,0.0,1,50000.0
297,37420.152,3657.6,953.44128,-59800861.96200005,3657.6,0.0,1,50000.0
298,47355.84,3990.87,951.77511,-60101876.86200005,3990.87,0.0,1,50000.0
299,51310.079999999994,4077.55,962.7522299999999,-60438100.162000045,4077.55,0.0,1,50000.0
300,44759.52,4495.166,964.12437,-60687937.06200005,4495.166,0.0,1,50000.0
301,47990.16,3678.31,953.4157974,-61010923.16200005,3678.31,0.0,1,50000.0
302,19701.44,5843.15,952.5425283,-60935780.06200005,5843.15,0.0,1,0.0
303,40821.355200000005,3730.05,958.5583821,-61184491.11400005,3730.05,0.0,1,0.0
304,43983.119999999995,5537.71,949.4375715,-61374436.814000055,5537.71,0.0,1,50000.0
305,47811.119999999995,3728.37,954.3860964,-61693129.51400006,3728.37,0.0,1,50000.0
306,42572.64,4279.2995,941.9662691999999,-61931890.939000055,4279.2995,0.0,1,50000.0
307,45229.92,4533.83,960.3049203,-62184498.63900006,4533.83,0.0,1,50000.0
308,45260.16,3900.57,946.4296446000001,-62469071.73900006,3900.57,0.0,1,50000.0
309,44256.96,4308.36,957.2969934,-62723223.33900006,4308.36,0.0,1,50000.0
310,48389.759999999995,4050.34,948.3702426,-63031603.93900006,4050.34,0.0,1,50000.0
311,47700.96000000001,5176.1,945.1682559,-63276808.539000064,5176.1,0.0,1,50000.0
312,46065.840000000004,5264.78,950.6989602,-63501227.93900006,5264.78,0.0,1,50000.0
313,48091.68,5647.03,951.2811396000001,-63726793.23900006,5647.03,0.0,1,50000.0
314,49388.64,3429.714,953.0276778,-64076193.939000055,3429.714,0.0,1,50000.0
315,16610.48,5571.4,958.3643223,-63983728.73900005,5571.4,0.0,1,0.0
316,48996.48,4364.215499999999,943.0335981,-64282482.76400005,4364.215499999999,0.0,1,0.0
