ID_Registro,Fecha,PerdidaCC1,PerdidaCC2,PerdidaCC1_Pct,PerdidaCC2_Pct,Causa,Duracion_Horas,Perdida_Ingresos_CC1_USD,Perdida_Ingresos_CC2_USD
41,2007-06-13,25.51,45.18,3.0,6.02,Restricciones_Combustible,30.6,38980.23,69049.1
42,2002-05-21,41.65,36.77,4.9,4.9,Condiciones_Ambientales,66.6,138683.62,122424.87
43,2009-02-20,63.27,29.96,7.44,3.99,Degradación_Equipos,69.7,220448.31,104381.43
44,2007-02-06,61.25,58.55,7.21,7.81,Mantenimiento_Programado,10.1,31059.42,29689.14
45,2014-08-22,47.17,39.58,5.55,5.28,Falla_Menor,30.9,72818.89,61102.84
46,2015-06-28,67.92,46.32,7.99,6.18,Degradación_Equipos,51.5,174782.52,119181.7
47,2003-11-08,47.45,34.81,5.58,4.64,Restricciones_Combustible,27.3,64824.41,47550.2
48,2016-12-26,36.82,37.1,4.33,4.95,Restricciones_Combustible,46.7,85998.89,86655.23
49,2019-09-05,34.02,26.57,4.0,3.54,Restricciones_Combustible,31.4,53493.73,41771.41
50,2006-01-01,36.22,22.54,4.26,3.01,Mantenimiento_Programado,49.5,89570.23,55742.55
51,2012-07-07,56.56,54.09,6.65,7.21,Falla_Menor,15.8,44751.27,42796.93
52,2008-10-04,66.43,46.9,7.82,6.25,Falla_Menor,47.2,156916.68,110783.14
53,2014-03-08,46.57,26.82,5.48,3.58,Condiciones_Ambientales,57.1,133052.13,76612.11
54,2014-10-04,60.81,45.46,7.15,6.06,Mantenimiento_Programado,36.6,111276.4,83172.88
55,2010-01-01,51.89,35.23,6.1,4.7,Degradación_Equipos,18.6,48233.45,32747.87
56,2018-01-19,48.83,26.67,5.75,3.56,Restricciones_Combustible,47.5,115881.26,63290.03
57,2001-04-16,48.62,24.53,5.72,3.27,Restricciones_Combustible,4.7,11436.36,5770.26
58,2015-04-05,42.71,44.75,5.02,5.97,Condiciones_Ambientales,58.7,125386.31,131381.4
59,2015-11-07,35.86,42.38,4.22,5.65,Degradación_Equipos,46.0,82537.54,97553.82
60,2006-07-29,51.81,45.62,6.1,6.08,Condiciones_Ambientales,66.4,171882.15,151359.39
61,2004-04-17,49.82,48.35,5.86,6.45,Mantenimiento_Programado,48.4,120470.02,116903.86
62,2009-04-18,40.78,54.54,4.8,7.27,Degradación_Equipos,49.6,101194.44,135329.21
63,2003-04-06,36.4,27.83,4.28,3.71,Degradación_Equipos,29.8,54160.0,41412.44
64,2005-01-22,46.4,42.16,5.46,5.62,Restricciones_Combustible,16.1,37310.78,33899.59
65,2009-08-13,51.95,45.2,6.11,6.03,Mantenimiento_Programado,19.6,50780.88,44187.02
66,2003-09-02,48.7,56.65,5.73,7.55,Falla_Menor,69.2,168391.34,195888.94
67,2015-04-15,30.01,34.85,3.53,4.65,Falla_Menor,5.6,8365.38,9714.21
68,2012-07-13,34.07,28.72,4.01,3.83,Degradación_Equipos,36.5,62158.04,52409.68
69,2005-09-09,31.51,50.46,3.71,6.73,Condiciones_Ambientales,45.0,70892.54,113525.63
70,2005-11-03,47.44,39.4,5.58,5.25,Degradación_Equipos,44.2,104842.46,87070.94
71,2006-04-11,31.83,36.45,3.75,4.86,Restricciones_Combustible,27.6,43943.21,50312.45
72,2006-10-03,62.27,37.39,7.33,4.99,Mantenimiento_Programado,43.7,135929.48,81623.21
73,2009-06-26,67.16,33.02,7.9,4.4,Condiciones_Ambientales,46.7,156867.83,77133.86
74,2015-07-13,37.67,31.5,4.43,4.2,Mantenimiento_Programado,38.6,72667.75,60781.39
75,2014-08-25,63.32,56.74,7.45,7.57,Mantenimiento_Programado,50.9,161002.22,144276.89
76,2011-08-30,39.72,59.35,4.67,7.91,Mantenimiento_Programado,67.8,134731.65,201284.56
77,2006-12-12,59.06,52.51,6.95,7.0,Degradación_Equipos,59.9,176942.38,157315.89
78,2005-02-23,26.59,30.67,3.13,4.09,Mantenimiento_Programado,59.6,79188.76,91320.44
79,2015-01-15,40.44,34.94,4.76,4.66,Restricciones_Combustible,44.9,90705.03,78367.04
80,2005-12-19,39.41,48.33,4.64,6.44,Falla_Menor,41.0,80784.92,99069.53
81,2018-11-30,62.06,58.86,7.3,7.85,Falla_Menor,26.9,83489.66,79185.31
82,2001-02-25,48.17,37.84,5.67,5.05,Mantenimiento_Programado,22.4,53871.6,42327.07
83,2018-05-07,52.55,55.23,6.18,7.36,Restricciones_Combustible,42.7,112312.79,118051.34
84,2006-10-01,37.7,46.39,4.44,6.19,Condiciones_Ambientales,38.9,73276.44,90160.45
85,2015-08-10,37.28,33.25,4.39,4.43,Condiciones_Ambientales,25.7,47872.6,42693.89
86,2015-02-27,35.16,33.93,4.14,4.52,Condiciones_Ambientales,31.1,54701.1,52796.8
87,2007-08-19,64.42,31.37,7.58,4.18,Condiciones_Ambientales,27.6,88804.53,43242.77
88,2011-09-27,59.7,46.76,7.02,6.23,Restricciones_Combustible,43.6,130288.62,102038.41
89,2008-07-24,37.89,23.24,4.46,3.1,Restricciones_Combustible,70.9,134335.31,82416.39
90,2009-07-17,29.99,39.02,3.53,5.2,Condiciones_Ambientales,53.8,80619.5,104896.24
91,2019-02-21,32.02,30.98,3.77,4.13,Condiciones_Ambientales,52.6,84131.32,81409.98
92,2007-06-07,61.78,55.92,7.27,7.46,Falla_Menor,15.2,46841.12,42401.37
93,2001-01-02,48.7,40.37,5.73,5.38,Mantenimiento_Programado,43.4,105772.99,87692.14
94,2011-01-10,26.48,47.74,3.12,6.36,Mantenimiento_Programado,38.4,50828.33,91626.31
95,2002-07-12,35.65,51.66,4.19,6.89,Condiciones_Ambientales,33.2,59228.22,85831.68
96,2004-04-20,62.2,29.83,7.32,3.98,Condiciones_Ambientales,22.9,71328.89,34204.16
97,2009-03-13,36.74,27.48,4.32,3.66,Falla_Menor,11.5,21204.63,15858.34
98,2007-02-01,62.3,34.17,7.33,4.56,Degradación_Equipos,18.4,57317.33,31439.76
99,2003-08-30,64.16,39.74,7.55,5.3,Mantenimiento_Programado,5.5,17502.53,10841.8
100,2008-07-05,41.05,49.28,4.83,6.57,Restricciones_Combustible,4.3,8893.91,10677.45
101,2019-01-06,52.32,38.2,6.16,5.09,Condiciones_Ambientales,57.0,149129.65,108880.44
102,2009-09-05,35.97,54.85,4.23,7.31,Condiciones_Ambientales,7.1,12727.95,19410.07
103,2004-06-28,41.77,46.53,4.91,6.2,Condiciones_Ambientales,63.0,131536.15,146522.68
104,2015-12-07,55.95,43.01,6.58,5.73,Condiciones_Ambientales,56.1,156877.82,120582.64
105,2001-05-23,64.95,48.09,7.64,6.41,Restricciones_Combustible,49.3,160010.27,118479.02
106,2014-01-16,28.17,52.05,3.31,6.94,Falla_Menor,41.1,57849.09,106896.83
107,2014-07-20,57.12,29.58,6.72,3.94,Falla_Menor,46.5,132721.98,68730.6
108,2005-05-19,67.48,45.45,7.94,6.06,Restricciones_Combustible,35.5,119616.18,80567.54
109,2017-02-03,39.04,25.06,4.59,3.34,Restricciones_Combustible,54.0,105420.04,67670.06
110,2006-02-27,26.28,49.63,3.09,6.62,Condiciones_Ambientales,31.6,41505.16,78378.7
111,2007-02-06,53.07,33.63,6.24,4.48,Restricciones_Combustible,29.6,78429.39,49710.55
112,2012-03-27,25.76,30.15,3.03,4.02,Degradación_Equipos,36.9,47588.76,55700.37
113,2013-05-20,58.31,36.65,6.86,4.89,Mantenimiento_Programado,62.8,183135.25,115113.23
114,2009-08-08,37.69,51.16,4.43,6.82,Mantenimiento_Programado,5.0,9424.46,12792.24
115,2012-10-08,33.29,40.53,3.92,5.4,Restricciones_Combustible,18.6,31019.99,37761.72
116,2005-09-01,46.01,43.2,5.41,5.76,Restricciones_Combustible,12.2,28133.7,26413.42
117,2001-01-03,42.42,57.34,4.99,7.65,Degradación_Equipos,15.7,33276.93,44981.27
118,2002-06-07,54.1,27.45,6.36,3.66,Mantenimiento_Programado,15.7,42550.71,21593.56
119,2015-04-01,61.37,47.56,7.22,6.34,Restricciones_Combustible,64.8,198886.86,154125.57
120,2018-05-06,37.77,53.21,4.44,7.09,Restricciones_Combustible,22.2,41974.27,59130.02
121,2004-12-10,58.24,28.85,6.85,3.85,Falla_Menor,40.2,117001.78,57965.56
122,2008-01-29,53.74,24.87,6.32,3.32,Degradación_Equipos,15.6,41932.15,19406.23
123,2006-02-27,47.49,48.36,5.59,6.45,Degradación_Equipos,55.8,132470.38,134902.41
124,2002-03-30,37.63,55.42,4.43,7.39,Condiciones_Ambientales,58.4,109934.72,161910.91
125,2015-07-10,50.28,31.13,5.92,4.15,Restricciones_Combustible,49.2,123668.21,76563.63
126,2017-05-18,50.76,57.59,5.97,7.68,Restricciones_Combustible,44.7,113437.32,128707.84
127,2017-06-28,67.56,49.36,7.95,6.58,Restricciones_Combustible,44.3,149497.73,109225.71
128,2011-07-23,47.45,33.42,5.58,4.46,Falla_Menor,44.3,105156.63,74060.0
129,2014-09-26,52.92,54.87,6.23,7.32,Condiciones_Ambientales,26.9,71225.98,73854.21
130,2011-07-03,32.75,23.58,3.85,3.14,Falla_Menor,60.2,98666.12,71019.39
131,2011-02-12,53.06,57.76,6.24,7.7,Condiciones_Ambientales,45.9,121809.13,132607.38
132,2015-05-15,49.29,28.13,5.8,3.75,Restricciones_Combustible,60.4,148791.06,84910.51
133,2006-12-06,64.85,59.87,7.63,7.98,Condiciones_Ambientales,49.3,159906.48,147629.23
134,2015-11-24,31.26,49.21,3.68,6.56,Condiciones_Ambientales,50.8,79339.43,124902.29
135,2009-09-02,29.24,33.72,3.44,4.5,Mantenimiento_Programado,35.4,51713.98,59641.19
136,2000-09-22,38.08,25.38,4.48,3.38,Falla_Menor,21.3,40497.46,26992.28
137,2012-09-17,49.76,37.9,5.85,5.05,Condiciones_Ambientales,31.0,77228.81,58820.17
138,2004-06-13,47.05,41.01,5.54,5.47,Restricciones_Combustible,51.1,120198.67,104779.63
139,2009-10-26,31.8,48.75,3.74,6.5,Condiciones_Ambientales,45.2,71907.27,110241.98
140,2010-01-24,35.55,47.92,4.18,6.39,Degradación_Equipos,52.6,93425.36,125937.44
141,2017-12-08,37.12,43.37,4.37,5.78,Condiciones_Ambientales,26.5,49176.36,57463.26
142,2000-05-25,34.46,41.5,4.05,5.53,Degradación_Equipos,31.7,54672.84,65833.77
143,2007-03-03,26.68,55.38,3.14,7.38,Mantenimiento_Programado,29.0,38681.51,80289.99
144,2006-11-23,40.17,52.77,4.73,7.04,Restricciones_Combustible,37.4,75182.47,98760.77
145,2007-12-06,46.91,31.97,5.52,4.26,Condiciones_Ambientales,32.5,76116.76,51872.44
146,2008-07-10,34.08,45.36,4.01,6.05,Mantenimiento_Programado,49.3,83958.02,111747.62
147,2006-04-21,63.97,50.84,7.53,6.78,Mantenimiento_Programado,65.3,208787.14,165926.76
148,2011-07-04,39.05,38.84,4.59,5.18,Falla_Menor,11.2,21897.03,21776.5
149,2001-04-24,62.95,50.54,7.41,6.74,Degradación_Equipos,68.4,215371.28,172933.78
150,2013-02-22,30.7,27.83,3.61,3.71,Falla_Menor,55.3,84863.56,76937.58
151,2001-06-19,41.94,55.61,4.93,7.42,Falla_Menor,47.8,100203.12,132865.64
152,2010-05-29,25.79,27.52,3.03,3.67,Restricciones_Combustible,19.8,25490.05,27198.25
153,2009-07-08,33.48,36.71,3.94,4.89,Degradación_Equipos,14.9,25018.95,27426.54
154,2004-08-12,51.59,35.12,6.07,4.68,Degradación_Equipos,17.5,45047.8,30665.52
155,2010-05-02,59.33,29.34,6.98,3.91,Falla_Menor,33.2,98444.0,48692.62
156,2004-02-08,44.38,32.72,5.22,4.36,Degradación_Equipos,13.3,29541.84,21778.67
157,2010-12-01,65.82,29.51,7.74,3.94,Restricciones_Combustible,13.3,43776.5,19627.72
158,2005-06-18,64.82,24.51,7.63,3.27,Mantenimiento_Programado,45.7,147981.05,55945.56
159,2018-05-04,65.58,53.96,7.72,7.2,Degradación_Equipos,29.2,95829.24,78853.28
160,2015-03-26,61.19,28.08,7.2,3.74,Degradación_Equipos,27.7,84719.11,38873.51
161,2014-07-10,26.3,47.64,3.09,6.35,Falla_Menor,9.2,12055.75,21839.6
162,2010-01-08,52.71,56.06,6.2,7.47,Restricciones_Combustible,16.2,42582.25,45284.75
163,2003-09-09,65.4,56.31,7.69,7.51,Restricciones_Combustible,29.7,97190.6,83682.95
164,2008-01-16,45.96,53.76,5.41,7.17,Restricciones_Combustible,71.9,165231.05,193299.27
165,2009-12-16,35.15,43.5,4.14,5.8,Restricciones_Combustible,11.0,19307.36,23893.56
166,2007-09-07,31.21,38.27,3.67,5.1,Condiciones_Ambientales,12.2,19009.69,23305.35
167,2008-12-23,48.22,46.23,5.67,6.16,Mantenimiento_Programado,14.3,34463.17,33041.92
168,2012-12-03,33.45,47.03,3.94,6.27,Condiciones_Ambientales,13.5,22555.2,31711.13
169,2011-03-04,32.37,26.65,3.81,3.55,Mantenimiento_Programado,63.1,102135.55,84076.33
170,2007-10-26,62.13,46.95,7.31,6.26,Degradación_Equipos,30.8,95579.98,72226.38
171,2006-12-17,26.18,37.91,3.08,5.06,Restricciones_Combustible,13.1,17150.13,24837.43
172,2000-09-22,39.02,59.17,4.59,7.89,Mantenimiento_Programado,49.4,96430.38,146217.05
173,2002-11-05,50.98,40.47,6.0,5.4,Restricciones_Combustible,44.6,113624.08,90217.03
174,2006-07-09,28.75,50.34,3.38,6.71,Degradación_Equipos,35.3,50812.35,88965.77
175,2001-11-27,28.19,49.18,3.32,6.56,Restricciones_Combustible,40.4,56885.53,99245.22
176,2002-05-10,26.3,52.43,3.09,6.99,Falla_Menor,26.2,34398.05,68562.81
177,2007-10-15,40.31,32.08,4.74,4.28,Restricciones_Combustible,26.3,53040.69,42204.17
178,2002-09-01,55.95,53.42,6.58,7.12,Mantenimiento_Programado,61.8,172747.74,164953.66
179,2005-09-26,59.11,54.38,6.95,7.25,Falla_Menor,38.1,112567.86,103558.86
180,2005-05-16,63.94,58.96,7.52,7.86,Mantenimiento_Programado,69.0,220655.57,203455.1
181,2009-03-10,55.27,49.26,6.5,6.57,Degradación_Equipos,51.1,141167.07,125829.86
182,2002-06-11,54.46,39.02,6.41,5.2,Degradación_Equipos,43.4,118145.07,84634.1
183,2008-09-21,51.8,23.2,6.09,3.09,Degradación_Equipos,70.9,183516.26,82191.38
184,2002-02-07,61.91,30.8,7.28,4.11,Falla_Menor,43.4,134192.01,66751.01
185,2018-10-11,64.1,53.05,7.54,7.07,Degradación_Equipos,38.8,124480.58,103017.03
186,2002-11-15,35.89,57.1,4.22,7.61,Restricciones_Combustible,39.8,71430.06,113630.86
187,2011-04-11,27.97,55.59,3.29,7.41,Condiciones_Ambientales,47.7,66686.0,132546.98
188,2008-07-30,50.34,42.21,5.92,5.63,Degradación_Equipos,23.1,58096.15,48717.71
189,2014-11-25,59.05,38.7,6.95,5.16,Mantenimiento_Programado,55.5,163947.57,107451.64
190,2017-07-12,47.94,23.56,5.64,3.14,Condiciones_Ambientales,20.5,49211.2,24188.99
191,2001-03-03,47.55,35.84,5.59,4.78,Falla_Menor,19.5,46418.75,34986.4
192,2007-05-23,66.28,34.45,7.8,4.59,Restricciones_Combustible,60.0,198867.13,103373.06
193,2011-01-14,35.85,51.88,4.22,6.92,Mantenimiento_Programado,34.8,62335.71,90211.73
194,2011-05-06,51.38,38.07,6.04,5.08,Condiciones_Ambientales,21.6,55574.83,41175.14
195,2006-03-09,44.3,54.9,5.21,7.32,Restricciones_Combustible,47.2,104520.92,129535.45
196,2019-09-09,33.8,38.77,3.98,5.17,Mantenimiento_Programado,38.2,64571.82,74073.51
197,2005-05-30,29.76,36.77,3.5,4.9,Mantenimiento_Programado,69.5,103406.44,127759.57
198,2013-02-16,56.45,33.81,6.64,4.51,Mantenimiento_Programado,6.1,17202.53,10303.18
199,2002-11-24,28.63,48.74,3.37,6.5,Mantenimiento_Programado,61.4,87842.59,149572.1
200,2016-03-20,56.32,33.85,6.63,4.51,Mantenimiento_Programado,5.0,14086.56,8466.41
201,2000-05-25,61.12,44.38,7.19,5.92,Degradación_Equipos,45.8,140094.41,101735.16
202,2001-10-01,38.42,40.64,4.52,5.42,Degradación_Equipos,66.3,127302.37,134665.32
203,2008-02-28,53.32,54.56,6.27,7.27,Restricciones_Combustible,45.6,121488.46,124318.71
204,2004-08-10,43.0,36.21,5.06,4.83,Restricciones_Combustible,5.7,12207.69,10279.44
205,2001-06-12,49.66,59.63,5.84,7.95,Falla_Menor,12.9,32083.28,38524.65
206,2013-07-20,36.45,44.93,4.29,5.99,Condiciones_Ambientales,53.3,97213.84,119857.74
207,2009-11-21,57.51,48.39,6.77,6.45,Mantenimiento_Programado,21.9,63037.52,53039.92
208,2015-07-31,27.98,32.81,3.29,4.37,Condiciones_Ambientales,67.5,94385.25,110668.22
209,2005-08-21,45.51,51.23,5.35,6.83,Falla_Menor,25.8,58671.05,66048.82
210,2009-07-02,63.69,47.74,7.49,6.36,Condiciones_Ambientales,16.1,51276.88,38429.68
211,2019-05-24,62.49,26.82,7.35,3.58,Restricciones_Combustible,71.7,223911.97,96097.15
212,2016-06-19,64.68,27.12,7.61,3.62,Degradación_Equipos,10.1,32560.52,13651.66
213,2002-05-21,30.09,43.43,3.54,5.79,Condiciones_Ambientales,64.5,96992.26,140024.67
214,2004-04-17,59.57,32.87,7.01,4.38,Degradación_Equipos,59.5,177207.62,97780.78
215,2018-11-15,28.67,53.41,3.37,7.12,Mantenimiento_Programado,41.3,59191.98,110277.99
216,2011-12-17,50.63,41.35,5.96,5.51,Condiciones_Ambientales,28.5,72049.24,58844.94
217,2011-09-30,29.09,38.95,3.42,5.19,Falla_Menor,19.3,28075.71,37595.83
218,2016-09-02,51.49,55.3,6.06,7.37,Restricciones_Combustible,66.5,171186.68,183871.18
219,2005-10-01,49.41,54.17,5.81,7.22,Mantenimiento_Programado,65.9,162812.18,178513.69
220,2015-10-07,46.34,42.5,5.45,5.67,Degradación_Equipos,42.3,98122.8,89988.85
221,2008-11-21,30.77,57.67,3.62,7.69,Degradación_Equipos,71.3,109654.54,205508.94
222,2012-10-19,57.89,24.74,6.81,3.3,Restricciones_Combustible,57.1,165264.65,70628.7
223,2004-09-20,56.44,23.1,6.64,3.08,Degradación_Equipos,5.6,15708.96,6428.14
224,2008-05-17,36.9,28.41,4.34,3.79,Degradación_Equipos,23.3,42973.62,33080.56
225,2007-07-16,52.75,57.64,6.21,7.69,Degradación_Equipos,53.3,140576.36,153612.04
226,2003-02-23,52.06,48.44,6.12,6.46,Falla_Menor,71.2,185421.63,172523.0
227,2003-08-16,25.56,44.81,3.01,5.97,Degradación_Equipos,31.6,40412.9,70829.47
228,2014-01-17,45.03,58.62,5.3,7.82,Condiciones_Ambientales,4.4,10001.03,13020.61
229,2000-10-31,41.49,55.8,4.88,7.44,Mantenimiento_Programado,71.4,148173.79,199263.21
230,2012-04-29,48.69,48.19,5.73,6.42,Falla_Menor,58.0,141099.83,139639.46
231,2003-05-17,27.33,36.09,3.21,4.81,Falla_Menor,8.7,11940.08,15770.22
232,2010-02-11,47.09,49.74,5.54,6.63,Restricciones_Combustible,53.1,125115.07,132152.45
233,2003-06-09,29.35,49.15,3.45,6.55,Falla_Menor,25.0,36676.36,61417.77
234,2000-06-01,40.33,27.43,4.74,3.66,Condiciones_Ambientales,43.6,87898.53,59777.72
235,2000-09-01,33.27,27.71,3.91,3.7,Mantenimiento_Programado,24.1,40062.96,33372.09
236,2012-02-04,66.47,46.99,7.82,6.27,Degradación_Equipos,15.2,50673.9,35822.5
237,2001-07-04,42.58,35.1,5.01,4.68,Degradación_Equipos,43.7,92944.94,76600.73
238,2007-04-19,61.94,59.57,7.29,7.94,Falla_Menor,51.9,160869.45,154716.59
239,2019-09-18,33.76,56.93,3.97,7.59,Restricciones_Combustible,66.5,112238.95,189228.6
240,2000-01-29,43.22,56.8,5.08,7.57,Mantenimiento_Programado,67.7,146368.57,192351.22
241,2015-10-24,55.99,33.55,6.59,4.47,Degradación_Equipos,62.1,173918.6,104218.31
242,2001-01-10,64.44,50.56,7.58,6.74,Restricciones_Combustible,17.1,55202.03,43309.62
243,2015-04-03,62.99,26.82,7.41,3.58,Restricciones_Combustible,6.1,19106.71,8136.15
244,2016-12-29,32.76,23.46,3.85,3.13,Condiciones_Ambientales,55.9,91512.05,65547.62
245,2003-06-24,26.96,27.87,3.17,3.72,Restricciones_Combustible,67.7,91241.63,94314.58
246,2005-06-11,34.18,28.18,4.02,3.76,Condiciones_Ambientales,26.7,45635.95,37620.38
247,2010-03-23,25.86,33.21,3.04,4.43,Degradación_Equipos,40.3,52118.91,66936.83
248,2019-08-04,37.89,46.35,4.46,6.18,Condiciones_Ambientales,70.4,133464.59,163255.65
249,2000-11-06,56.31,47.27,6.62,6.3,Falla_Menor,6.6,18465.88,15503.08
250,2013-12-18,29.74,52.58,3.5,7.01,Condiciones_Ambientales,42.1,62533.64,110550.0
251,2003-08-10,47.31,59.44,5.57,7.93,Condiciones_Ambientales,27.1,64188.46,80648.6
252,2012-11-14,41.76,30.74,4.91,4.1,Condiciones_Ambientales,8.8,18300.5,13471.93
253,2009-04-18,64.58,40.79,7.6,5.44,Degradación_Equipos,43.3,139979.61,88405.73
254,2000-09-29,43.51,34.84,5.12,4.65,Mantenimiento_Programado,48.5,105566.01,84540.03
255,2016-10-10,53.64,34.6,6.31,4.61,Restricciones_Combustible,18.0,48216.49,31096.36
256,2007-03-05,27.31,48.18,3.21,6.42,Degradación_Equipos,69.2,94518.2,166721.04
257,2017-10-24,48.0,50.08,5.65,6.68,Restricciones_Combustible,14.6,35136.89,36657.02
258,2011-05-11,26.71,25.41,3.14,3.39,Falla_Menor,41.7,55697.42,53002.18
259,2007-02-12,48.37,43.6,5.69,5.81,Falla_Menor,20.7,50161.77,45207.76
260,2018-05-23,66.63,55.78,7.84,7.44,Condiciones_Ambientales,60.0,200018.28,167432.62
261,2012-08-11,33.2,25.79,3.91,3.44,Condiciones_Ambientales,66.7,110774.26,86046.52
262,2015-06-08,59.61,26.29,7.01,3.5,Degradación_Equipos,59.1,176206.04,77696.74
263,2018-10-15,38.89,54.16,4.58,7.22,Restricciones_Combustible,5.6,10822.11,15069.99
264,2005-09-04,39.5,35.51,4.65,4.73,Degradación_Equipos,70.1,138385.56,124408.65
265,2019-06-18,65.21,55.47,7.67,7.4,Falla_Menor,5.2,16916.65,14390.17
266,2010-10-24,34.78,47.16,4.09,6.29,Restricciones_Combustible,38.3,66537.14,90223.0
267,2010-05-03,47.8,48.57,5.62,6.48,Falla_Menor,56.1,134163.2,136327.15
268,2012-12-27,50.1,59.97,5.89,8.0,Restricciones_Combustible,43.5,108839.94,130284.75
269,2006-06-30,62.26,58.48,7.32,7.8,Condiciones_Ambientales,50.4,156865.96,147357.07
270,2017-01-05,67.7,48.02,7.96,6.4,Restricciones_Combustible,50.1,169438.02,120188.62
271,2009-04-16,30.24,52.34,3.56,6.98,Falla_Menor,12.2,18412.49,31866.7
272,2015-10-02,54.24,38.94,6.38,5.19,Degradación_Equipos,64.1,173939.21,124871.43
273,2016-12-04,36.02,53.92,4.24,7.19,Falla_Menor,17.5,31463.28,47106.55
274,2011-05-23,61.95,26.56,7.29,3.54,Restricciones_Combustible,5.5,17042.92,7306.99
275,2019-08-22,45.19,48.81,5.32,6.51,Condiciones_Ambientales,67.8,153271.15,165572.03
276,2006-09-16,48.86,43.56,5.75,5.81,Mantenimiento_Programado,23.3,56952.97,50772.42
277,2017-12-13,30.61,23.17,3.6,3.09,Restricciones_Combustible,9.1,13884.47,10510.8
