ID_Registro,Fecha,Autodescarga_Porcentaje,Capacidad_MWh,Perdida_MWh,Temperatura_Ambiente_C,Configuracion_BESS,Estado_Sistema
157,2000-06-05,0.0127,100,1.261,24.5,BESS_100MWh,Operativo
158,2000-06-06,0.0169,100,1.688,20.7,BESS_100MWh,Operativo
159,2000-06-07,0.029,100,2.882,25.7,BESS_100MWh,Operativo
160,2000-06-08,0.025,100,2.485,25.9,BESS_100MWh,Operativo
161,2000-06-09,0.0254,100,2.52,29.9,BESS_100MWh,Operativo
162,2000-06-10,0.0293,100,2.947,15.2,BESS_100MWh,Operativo
163,2000-06-11,0.012,100,1.209,15.7,BESS_100MWh,Operativo
164,2000-06-12,0.0205,100,2.044,22.0,BESS_100MWh,Operativo
165,2000-06-13,0.0242,100,2.376,36.8,BESS_100MWh,Operativo
166,2000-06-14,0.0297,100,2.923,34.8,BESS_100MWh,Operativo
167,2000-06-15,0.0163,100,1.603,34.9,BESS_100MWh,Operativo
168,2000-06-16,0.0157,100,1.552,34.1,BESS_100MWh,Operativo
169,2000-06-17,0.0159,100,1.606,11.4,BESS_100MWh,Operativo
170,2000-06-18,0.0148,100,1.464,31.2,BESS_100MWh,Operativo
171,2000-06-19,0.0296,100,2.967,17.2,BESS_100MWh,Operativo
172,2000-06-20,0.0267,100,2.681,14.0,BESS_100MWh,Operativo
173,2000-06-21,0.014,100,1.406,13.0,BESS_100MWh,Operativo
174,2000-06-22,0.0216,100,2.171,15.0,BESS_100MWh,Operativo
175,2000-06-23,0.01,100,1.005,17.0,BESS_100MWh,Operativo
176,2000-06-24,0.0202,100,2.003,29.2,BESS_100MWh,Operativo
177,2000-06-25,0.0149,100,1.497,16.4,BESS_100MWh,Operativo
178,2000-06-26,0.0121,100,1.199,26.1,BESS_100MWh,Operativo
179,2000-06-27,0.0194,100,1.9,41.5,BESS_100MWh,Operativo
180,2000-06-28,0.0288,100,2.833,35.4,BESS_100MWh,Operativo
181,2000-06-29,0.0233,100,2.346,12.6,BESS_100MWh,Operativo
182,2000-06-30,0.0205,100,2.049,22.1,BESS_100MWh,Operativo
183,2000-07-01,0.0208,100,2.106,9.4,BESS_100MWh,Operativo
184,2000-07-02,0.0293,100,2.922,24.0,BESS_100MWh,Operativo
185,2000-07-03,0.0218,100,2.145,37.8,BESS_100MWh,Operativo
186,2000-07-04,0.0128,100,1.289,10.9,BESS_100MWh,Operativo
187,2000-07-05,0.0188,100,1.872,22.1,BESS_100MWh,Operativo
188,2000-07-06,0.019,100,1.893,21.1,BESS_100MWh,Operativo
189,2000-07-07,0.0228,100,2.261,29.1,BESS_100MWh,Operativo
190,2000-07-08,0.0195,100,2.006,-6.2,BESS_100MWh,Operativo
191,2000-07-09,0.024,100,2.393,21.4,BESS_100MWh,Operativo
192,2000-07-10,0.0132,100,1.323,17.8,BESS_100MWh,Operativo
193,2000-07-11,0.0254,100,2.539,21.4,BESS_100MWh,Operativo
194,2000-07-12,0.0144,100,1.422,33.5,BESS_100MWh,Operativo
195,2000-07-13,0.0125,100,1.257,17.2,BESS_100MWh,Operativo
196,2000-07-14,0.0112,100,1.104,29.6,BESS_100MWh,Operativo
197,2000-07-15,0.017,100,1.695,21.8,BESS_100MWh,Operativo
198,2000-07-16,0.0231,100,2.283,30.6,BESS_100MWh,Operativo
199,2000-07-17,0.0151,100,1.507,23.5,BESS_100MWh,Operativo
200,2000-07-18,0.0287,100,2.858,24.0,BESS_100MWh,Operativo
201,2000-07-19,0.0253,100,2.513,27.0,BESS_100MWh,Operativo
202,2000-07-20,0.016,100,1.624,4.5,BESS_100MWh,Operativo
203,2000-07-21,0.0185,100,1.82,38.1,BESS_100MWh,Operativo
204,2000-07-22,0.0207,100,2.049,32.6,BESS_100MWh,Operativo
205,2000-07-23,0.017,100,1.706,17.8,BESS_100MWh,Operativo
206,2000-07-24,0.0163,100,1.621,25.9,BESS_100MWh,Operativo
207,2000-07-25,0.0289,100,2.89,19.4,BESS_100MWh,Operativo
208,2000-07-26,0.0154,100,1.521,30.2,BESS_100MWh,Operativo
209,2000-07-27,0.0127,100,1.259,26.5,BESS_100MWh,Operativo
210,2000-07-28,0.0122,100,1.211,28.6,BESS_100MWh,Operativo
211,2000-07-29,0.0244,100,2.481,3.3,BESS_100MWh,Operativo
212,2000-07-30,0.0258,100,2.621,3.7,BESS_100MWh,Operativo
213,2000-07-31,0.0123,100,1.238,16.5,BESS_100MWh,Operativo
214,2000-08-01,0.0268,100,2.704,9.5,BESS_100MWh,Operativo
215,2000-08-02,0.0294,100,2.973,7.9,BESS_100MWh,Operativo
216,2000-08-03,0.0281,100,2.806,21.6,BESS_100MWh,Operativo
217,2000-08-04,0.0134,100,1.325,33.6,BESS_100MWh,Operativo
218,2000-08-05,0.0111,100,1.119,12.5,BESS_100MWh,Operativo
219,2000-08-06,0.0198,100,1.97,26.0,BESS_100MWh,Operativo
220,2000-08-07,0.0209,100,2.092,18.7,BESS_100MWh,Operativo
221,2000-08-08,0.0278,100,2.775,21.2,BESS_100MWh,Operativo
222,2000-08-09,0.0236,100,2.384,11.5,BESS_100MWh,Operativo
223,2000-08-10,0.0131,100,1.302,22.3,BESS_100MWh,Operativo
224,2000-08-11,0.0244,100,2.388,40.1,BESS_100MWh,Operativo
225,2000-08-12,0.0157,100,1.57,21.3,BESS_100MWh,Operativo
226,2000-08-13,0.0195,100,1.965,10.3,BESS_100MWh,Operativo
227,2000-08-14,0.0184,100,1.853,14.9,BESS_100MWh,Operativo
228,2000-08-15,0.0296,100,2.97,14.9,BESS_100MWh,Operativo
229,2000-08-16,0.0288,100,2.854,29.0,BESS_100MWh,Operativo
230,2000-08-17,0.0144,100,1.447,15.4,BESS_100MWh,Operativo
231,2000-08-18,0.0298,100,2.968,22.7,BESS_100MWh,Operativo
232,2000-08-19,0.0294,100,2.985,6.1,BESS_100MWh,Operativo
233,2000-08-20,0.0127,100,1.26,23.9,BESS_100MWh,Operativo
234,2000-08-21,0.0255,100,2.579,7.0,BESS_100MWh,Operativo
235,2000-08-22,0.0237,100,2.405,5.0,BESS_100MWh,Operativo
236,2000-08-23,0.0262,100,2.573,39.2,BESS_100MWh,Operativo
237,2000-08-24,0.0129,100,1.281,27.6,BESS_100MWh,Operativo
238,2000-08-25,0.0155,100,1.562,13.3,BESS_100MWh,Operativo
239,2000-08-26,0.0128,100,1.276,24.6,BESS_100MWh,Operativo
240,2000-08-27,0.0229,100,2.278,25.8,BESS_100MWh,Operativo
241,2000-08-28,0.0234,100,2.312,32.3,BESS_100MWh,Operativo
242,2000-08-29,0.0164,100,1.63,28.7,BESS_100MWh,Operativo
243,2000-08-30,0.0272,100,2.731,14.5,BESS_100MWh,Operativo
244,2000-08-31,0.0199,100,2.021,4.6,BESS_100MWh,Operativo
245,2000-09-01,0.0262,100,2.612,23.3,BESS_100MWh,Operativo
246,2000-09-02,0.0263,100,2.705,-8.1,BESS_100MWh,Operativo
247,2000-09-03,0.0298,100,2.999,13.4,BESS_100MWh,Operativo
248,2000-09-04,0.0123,100,1.22,29.7,BESS_100MWh,Operativo
249,2000-09-05,0.0239,100,2.39,18.8,BESS_100MWh,Operativo
250,2000-09-06,0.025,100,2.449,39.8,BESS_100MWh,Operativo
251,2000-09-07,0.0113,100,1.126,19.9,BESS_100MWh,Operativo
252,2000-09-08,0.0214,100,2.134,22.1,BESS_100MWh,Operativo
253,2000-09-09,0.021,100,2.065,34.8,BESS_100MWh,Operativo
254,2000-09-10,0.0115,100,1.143,22.3,BESS_100MWh,Operativo
255,2000-09-11,0.0288,100,2.841,31.9,BESS_100MWh,Operativo
256,2000-09-12,0.011,100,1.116,5.1,BESS_100MWh,Operativo
257,2000-09-13,0.0197,100,1.977,14.3,BESS_100MWh,Operativo
258,2000-09-14,0.0174,100,1.719,29.6,BESS_100MWh,Operativo
259,2000-09-15,0.0228,100,2.288,18.2,BESS_100MWh,Operativo
260,2000-09-16,0.0255,100,2.563,13.5,BESS_100MWh,Operativo
261,2000-09-17,0.0239,100,2.338,42.7,BESS_100MWh,Operativo
262,2000-09-18,0.0153,100,1.51,32.0,BESS_100MWh,Operativo
263,2000-09-19,0.0293,100,2.894,31.5,BESS_100MWh,Operativo
264,2000-09-20,0.0205,100,2.073,10.0,BESS_100MWh,Operativo
265,2000-09-21,0.0114,100,1.112,45.7,BESS_100MWh,Operativo
266,2000-09-22,0.0127,100,1.267,20.8,BESS_100MWh,Operativo
267,2000-09-23,0.0119,100,1.172,34.3,BESS_100MWh,Operativo
268,2000-09-24,0.0132,100,1.331,15.8,BESS_100MWh,Operativo
269,2000-09-25,0.0125,100,1.258,15.1,BESS_100MWh,Operativo
270,2000-09-26,0.0125,100,1.238,26.9,BESS_100MWh,Operativo
271,2000-09-27,0.0278,100,2.813,7.1,BESS_100MWh,Operativo
272,2000-09-28,0.0288,100,2.937,1.7,BESS_100MWh,Operativo
273,2000-09-29,0.024,100,2.41,17.4,BESS_100MWh,Operativo
274,2000-09-30,0.0222,100,2.213,25.5,BESS_100MWh,Operativo
275,2000-10-01,0.0193,100,1.93,20.0,BESS_100MWh,Operativo
276,2000-10-02,0.0238,100,2.375,20.8,BESS_100MWh,Operativo
277,2000-10-03,0.0142,100,1.403,30.3,BESS_100MWh,Operativo
278,2000-10-04,0.0275,100,2.748,22.0,BESS_100MWh,Operativo
279,2000-10-05,0.0114,100,1.139,23.1,BESS_100MWh,Operativo
280,2000-10-06,0.0262,100,2.615,22.4,BESS_100MWh,Operativo
281,2000-10-07,0.0104,100,1.049,11.0,BESS_100MWh,Operativo
282,2000-10-08,0.0249,100,2.456,34.4,BESS_100MWh,Operativo
283,2000-10-09,0.0189,100,1.918,7.9,BESS_100MWh,Operativo
284,2000-10-10,0.013,100,1.292,29.1,BESS_100MWh,Operativo
285,2000-10-11,0.0285,100,2.843,21.9,BESS_100MWh,Operativo
286,2000-10-12,0.0262,100,2.614,20.9,BESS_100MWh,Operativo
287,2000-10-13,0.0147,100,1.458,25.4,BESS_100MWh,Operativo
288,2000-10-14,0.0158,100,1.553,37.9,BESS_100MWh,Operativo
289,2000-10-15,0.0272,100,2.732,15.7,BESS_100MWh,Operativo
290,2000-10-16,0.0215,100,2.14,23.2,BESS_100MWh,Operativo
291,2000-10-17,0.0256,100,2.537,30.2,BESS_100MWh,Operativo
292,2000-10-18,0.021,100,2.093,23.0,BESS_100MWh,Operativo
293,2000-10-19,0.0161,100,1.618,18.1,BESS_100MWh,Operativo
294,2000-10-20,0.0219,100,2.165,32.3,BESS_100MWh,Operativo
295,2000-10-21,0.0215,100,2.151,18.3,BESS_100MWh,Operativo
296,2000-10-22,0.0166,100,1.667,15.3,BESS_100MWh,Operativo
297,2000-10-23,0.0109,100,1.087,21.7,BESS_100MWh,Operativo
298,2000-10-24,0.0163,100,1.644,10.8,BESS_100MWh,Operativo
299,2000-10-25,0.0205,100,2.004,41.5,BESS_100MWh,Operativo
300,2000-10-26,0.0269,100,2.699,17.7,BESS_100MWh,Operativo
301,2000-10-27,0.0147,100,1.454,28.4,BESS_100MWh,Operativo
302,2000-10-28,0.0243,100,2.483,-0.3,BESS_100MWh,Operativo
303,2000-10-29,0.0178,100,1.767,28.7,BESS_100MWh,Operativo
304,2000-10-30,0.023,100,2.328,8.3,BESS_100MWh,Operativo
305,2000-10-31,0.0249,100,2.514,11.9,BESS_100MWh,Operativo
306,2000-11-01,0.0218,100,2.177,20.0,BESS_100MWh,Operativo
307,2000-11-02,0.0165,100,1.629,35.4,BESS_100MWh,Operativo
308,2000-11-03,0.0295,100,2.956,16.6,BESS_100MWh,Operativo
309,2000-11-04,0.0198,100,1.987,17.7,BESS_100MWh,Operativo
310,2000-11-05,0.0234,100,2.388,-0.7,BESS_100MWh,Operativo
311,2000-11-06,0.0236,100,2.346,26.9,BESS_100MWh,Operativo
312,2000-11-07,0.0295,100,2.909,34.0,BESS_100MWh,Operativo
313,2000-11-08,0.0172,100,1.73,13.0,BESS_100MWh,Operativo
314,2000-11-09,0.0104,100,1.049,11.2,BESS_100MWh,Operativo
315,2000-11-10,0.0154,100,1.564,7.0,BESS_100MWh,Operativo
316,2000-11-11,0.0117,100,1.163,23.4,BESS_100MWh,Operativo
317,2000-11-12,0.0136,100,1.359,20.9,BESS_100MWh,Operativo
318,2000-11-13,0.0209,100,2.069,31.0,BESS_100MWh,Operativo
319,2000-11-14,0.0157,100,1.545,37.3,BESS_100MWh,Operativo
320,2000-11-15,0.022,100,2.193,21.2,BESS_100MWh,Operativo
321,2000-11-16,0.021,100,2.074,33.6,BESS_100MWh,Operativo
322,2000-11-17,0.0268,100,2.714,5.7,BESS_100MWh,Operativo
323,2000-11-18,0.0138,100,1.381,19.4,BESS_100MWh,Operativo
324,2000-11-19,0.03,100,2.959,33.1,BESS_100MWh,Operativo
325,2000-11-20,0.0152,100,1.524,19.8,BESS_100MWh,Operativo
326,2000-11-21,0.0164,100,1.64,19.3,BESS_100MWh,Operativo
327,2000-11-22,0.0229,100,2.277,24.9,BESS_100MWh,Operativo
328,2000-11-23,0.0163,100,1.645,13.7,BESS_100MWh,Operativo
329,2000-11-24,0.0277,100,2.753,25.1,BESS_100MWh,Operativo
330,2000-11-25,0.0136,100,1.372,14.5,BESS_100MWh,Operativo
331,2000-11-26,0.0102,100,1.039,0.2,BESS_100MWh,Operativo
332,2000-11-27,0.0229,100,2.283,23.6,BESS_100MWh,Operativo
333,2000-11-28,0.0176,100,1.754,25.6,BESS_100MWh,Operativo
334,2000-11-29,0.0195,100,1.934,27.3,BESS_100MWh,Operativo
335,2000-11-30,0.01,100,1.022,-3.7,BESS_100MWh,Operativo
336,2000-12-01,0.022,100,2.188,23.9,BESS_100MWh,Operativo
337,2000-12-02,0.0131,100,1.321,9.0,BESS_100MWh,Operativo
338,2000-12-03,0.0298,100,2.96,26.2,BESS_100MWh,Operativo
339,2000-12-04,0.0264,100,2.638,21.8,BESS_100MWh,Operativo
340,2000-12-05,0.0188,100,1.91,6.9,BESS_100MWh,Operativo
341,2000-12-06,0.026,100,2.621,11.2,BESS_100MWh,Operativo
342,2000-12-07,0.0175,100,1.729,30.4,BESS_100MWh,Operativo
343,2000-12-08,0.0114,100,1.12,35.3,BESS_100MWh,Operativo
344,2000-12-09,0.0185,100,1.838,24.0,BESS_100MWh,Operativo
345,2000-12-10,0.0287,100,2.891,13.4,BESS_100MWh,Operativo
346,2000-12-11,0.0297,100,2.979,16.7,BESS_100MWh,Operativo
347,2000-12-12,0.0243,100,2.489,-3.6,BESS_100MWh,Operativo
348,2000-12-13,0.0152,100,1.51,26.7,BESS_100MWh,Operativo
349,2000-12-14,0.022,100,2.195,23.8,BESS_100MWh,Operativo
350,2000-12-15,0.0187,100,1.924,-9.9,BESS_100MWh,Operativo
351,2000-12-16,0.0227,100,2.285,14.9,BESS_100MWh,Operativo
352,2000-12-17,0.0151,100,1.496,27.5,BESS_100MWh,Operativo
353,2000-12-18,0.0215,100,2.154,20.5,BESS_100MWh,Operativo
354,2000-12-19,0.0123,100,1.224,24.3,BESS_100MWh,Operativo
355,2000-12-20,0.0271,100,2.73,11.6,BESS_100MWh,Operativo
356,2000-12-21,0.0228,100,2.26,27.9,BESS_100MWh,Operativo
357,2000-12-22,0.0143,100,1.449,5.1,BESS_100MWh,Operativo
358,2000-12-23,0.0218,100,2.194,15.8,BESS_100MWh,Operativo
359,2000-12-24,0.0163,100,1.606,32.5,BESS_100MWh,Operativo
360,2000-12-25,0.0141,100,1.389,37.1,BESS_100MWh,Operativo
361,2000-12-26,0.01,100,1.006,15.9,BESS_100MWh,Operativo
362,2000-12-27,0.0203,100,2.046,12.3,BESS_100MWh,Operativo
363,2000-12-28,0.0275,100,2.771,13.6,BESS_100MWh,Operativo
364,2000-12-29,0.0267,100,2.688,13.5,BESS_100MWh,Operativo
365,2000-12-30,0.02,100,2.016,9.4,BESS_100MWh,Operativo
