ID_Registro,Fecha,Costo_Falla_USD,Equipo_Afectado,Severidad,Duracion_Horas,MWh_No_Suministrado,Multa_Incumplimiento_USD,Costo_Total_USD
23,2008-09-15,2438.93,TV,Menor,23.8,141.56,12740.66,15179.59
24,2009-06-21,4708.88,TV,Moderada,11.3,116.04,10443.54,15152.42
25,2019-04-23,6217.64,CC2,Crítica,12.6,142.3,12806.8,19024.45
26,2002-04-23,5247.59,CC1,Mayor,29.6,105.51,9495.81,14743.4
27,2004-08-11,9357.86,TV,Moderada,7.8,103.0,9269.64,18627.5
28,2005-09-04,13868.91,TV,Crítica,12.2,148.36,13352.5,27221.41
29,2004-04-07,9665.12,TV,Mayor,5.2,168.71,15183.67,24848.79
30,2005-12-15,11711.07,BESS,Mayor,11.4,145.12,13060.66,24771.72
31,2018-05-28,6012.97,BESS,Menor,33.5,83.48,7513.17,13526.14
32,2017-12-26,3170.12,BESS,Menor,6.3,185.69,16712.26,19882.38
33,2009-04-09,8279.73,CC2,Crítica,27.1,110.63,9957.02,18236.76
34,2001-10-31,7806.35,Sistema_Auxiliar,Menor,42.5,45.85,4126.89,11933.24
35,2008-04-08,14224.51,TV,Crítica,42.7,158.18,14235.87,28460.38
36,2019-03-16,9549.44,BESS,Moderada,32.4,120.33,10829.74,20379.19
37,2015-04-09,17668.16,CC2,Crítica,15.4,102.27,9204.0,26872.16
38,2002-07-27,7968.96,BESS,Menor,1.8,103.84,9345.58,17314.54
39,2015-05-15,14483.84,CC1,Crítica,5.4,79.87,7187.94,21671.78
40,2013-06-07,12754.4,Sistema_Auxiliar,Mayor,42.9,129.92,11692.47,24446.87
41,2001-10-04,8474.0,BESS,Mayor,24.1,47.1,4238.66,12712.65
42,2015-05-27,12607.25,CC1,Crítica,9.3,188.69,16981.84,29589.09
43,2013-01-06,4472.89,CC1,Menor,44.6,91.35,8221.95,12694.84
44,2002-07-07,7176.85,Sistema_Auxiliar,Menor,10.0,61.01,5490.92,12667.77
45,2002-05-08,7291.45,CC2,Mayor,40.7,186.7,16803.29,24094.74
46,2013-10-07,5801.16,CC2,Mayor,25.4,176.7,15903.08,21704.24
47,2016-04-13,7879.11,TV,Moderada,17.9,65.78,5920.42,13799.53
48,2002-11-02,16325.11,Sistema_Auxiliar,Crítica,25.0,105.29,9475.93,25801.04
49,2012-01-20,9814.67,BESS,Mayor,16.9,81.36,7322.47,17137.14
50,2001-10-15,5638.37,TV,Menor,8.3,196.55,17689.48,23327.85
51,2016-06-28,5889.32,TV,Crítica,16.4,167.3,15056.56,20945.88
52,2011-04-18,7360.23,BESS,Moderada,3.4,110.96,9986.16,17346.4
53,2014-12-21,13431.62,BESS,Crítica,46.9,108.1,9728.74,23160.35
54,2018-05-25,10425.14,TV,Crítica,36.0,57.66,5189.72,15614.86
55,2008-05-08,5476.98,CC1,Mayor,12.8,114.35,10291.78,15768.75
56,2015-03-30,6097.11,Sistema_Auxiliar,Menor,45.9,150.2,13518.04,19615.14
57,2004-10-04,14598.5,TV,Crítica,27.6,40.14,3612.85,18211.35
58,2013-08-08,3322.02,CC1,Moderada,41.2,143.69,12932.55,16254.57
59,2011-08-06,10846.62,Sistema_Auxiliar,Mayor,17.3,98.29,8845.92,19692.54
60,2004-01-23,6005.54,Sistema_Auxiliar,Crítica,3.1,81.18,7305.88,13311.42
61,2018-04-06,7196.34,Sistema_Auxiliar,Menor,8.7,23.41,2106.73,9303.07
62,2001-06-09,9581.61,BESS,Moderada,27.9,34.42,3097.36,12678.97
63,2018-04-11,5905.26,CC1,Menor,31.6,49.27,4434.3,10339.56
64,2012-01-12,2964.36,CC2,Menor,5.4,139.77,12579.42,15543.77
65,2016-03-30,5232.83,CC2,Moderada,2.1,164.75,14827.41,20060.24
66,2008-07-14,6280.19,CC2,Menor,45.0,17.45,1570.09,7850.27
67,2003-12-23,6603.44,TV,Menor,35.4,34.26,3083.49,9686.94
68,2016-04-05,9694.12,Sistema_Auxiliar,Crítica,21.2,152.67,13739.9,23434.02
69,2002-12-27,5644.1,CC1,Moderada,24.3,84.03,7562.47,13206.57
70,2012-07-05,6659.81,BESS,Crítica,46.1,170.96,15386.15,22045.96
71,2008-10-10,12545.56,BESS,Mayor,24.2,25.82,2324.16,14869.73
72,2004-04-08,9382.21,BESS,Mayor,11.0,189.78,17079.93,26462.14
73,2015-02-26,3794.25,Sistema_Auxiliar,Moderada,46.8,199.23,17930.42,21724.68
74,2004-06-11,11978.11,TV,Mayor,6.5,37.17,3345.16,15323.27
75,2009-09-10,15964.86,Sistema_Auxiliar,Crítica,4.4,166.15,14953.81,30918.66
76,2001-01-05,11867.91,TV,Crítica,18.6,80.42,7237.98,19105.89
77,2019-05-25,7704.59,CC1,Menor,36.4,81.49,7334.04,15038.63
78,2018-12-30,6908.83,TV,Moderada,43.6,31.13,2801.48,9710.31
79,2002-06-22,3079.48,BESS,Moderada,3.6,32.58,2931.79,6011.26
80,2008-01-01,7767.28,BESS,Moderada,19.8,100.77,9068.92,16836.2
81,2000-04-26,7794.05,BESS,Menor,46.6,18.2,1638.03,9432.08
82,2015-08-01,17911.36,Sistema_Auxiliar,Crítica,27.0,194.17,17475.07,35386.43
83,2017-02-16,5924.63,CC1,Menor,33.8,83.0,7469.85,13394.48
84,2010-01-12,17479.65,BESS,Crítica,30.1,62.7,5643.22,23122.87
85,2003-03-31,5717.88,BESS,Moderada,13.5,78.47,7061.9,12779.78
86,2003-07-11,4938.15,CC1,Menor,15.5,164.62,14815.89,19754.04
87,2015-02-15,4593.42,CC2,Mayor,35.1,126.55,11389.4,15982.82
88,2001-01-10,12387.83,CC2,Mayor,3.1,15.01,1350.88,13738.7
89,2000-03-05,8271.37,CC1,Mayor,28.9,82.37,7413.23,15684.6
90,2016-04-07,2606.2,CC1,Menor,3.6,174.3,15686.75,18292.96
91,2016-07-15,7998.42,TV,Menor,28.5,147.96,13316.67,21315.09
92,2009-03-24,4731.44,CC1,Moderada,12.8,62.2,5597.91,10329.35
93,2003-10-15,3328.28,CC2,Moderada,25.5,156.74,14106.64,17434.92
94,2017-09-25,6971.76,BESS,Menor,5.2,160.45,14440.09,21411.85
95,2016-04-21,5088.26,Sistema_Auxiliar,Menor,31.0,162.96,14666.26,19754.52
96,2006-07-11,3101.81,CC2,Moderada,30.9,115.41,10387.35,13489.16
97,2018-11-04,12297.82,CC1,Crítica,43.8,66.61,5995.11,18292.93
98,2009-02-20,14190.29,Sistema_Auxiliar,Crítica,22.6,170.0,15299.76,29490.05
99,2016-12-05,6213.95,CC2,Moderada,24.2,72.46,6521.65,12735.6
100,2010-02-12,6085.33,TV,Mayor,7.1,34.33,3089.58,9174.91
101,2010-01-08,7668.85,BESS,Crítica,20.3,176.12,15850.83,23519.68
102,2017-03-02,3476.82,TV,Menor,8.9,62.93,5663.89,9140.71
103,2005-01-01,6740.96,BESS,Moderada,43.0,34.46,3101.6,9842.56
104,2012-03-13,3646.03,CC1,Moderada,4.8,175.98,15838.19,19484.23
105,2015-03-02,2414.53,BESS,Menor,5.0,123.48,11113.46,13527.99
106,2019-07-26,12161.04,CC2,Crítica,18.3,97.88,8809.34,20970.39
107,2012-06-02,4233.82,TV,Mayor,33.3,170.44,15339.94,19573.75
108,2010-08-27,3213.31,CC2,Moderada,17.6,85.46,7691.5,10904.81
109,2004-01-28,2512.4,CC1,Menor,10.9,72.22,6500.2,9012.6
110,2011-01-25,7386.95,BESS,Menor,32.9,159.94,14394.83,21781.78
111,2012-05-25,4690.97,CC2,Mayor,36.0,92.02,8281.38,12972.35
112,2018-02-11,4986.43,BESS,Moderada,29.6,56.43,5078.44,10064.87
113,2012-08-16,9535.84,Sistema_Auxiliar,Moderada,11.6,79.42,7147.6,16683.44
114,2015-01-04,11642.44,CC1,Mayor,3.4,13.47,1211.95,12854.39
115,2004-02-05,17965.42,CC2,Crítica,46.6,174.45,15700.17,33665.59
116,2005-04-28,4805.32,TV,Moderada,44.7,115.78,10420.65,15225.97
117,2007-01-26,3967.88,BESS,Menor,9.8,71.5,6434.91,10402.8
118,2018-07-31,11795.89,CC1,Crítica,6.4,126.02,11341.6,23137.49
119,2005-10-20,5234.18,BESS,Menor,26.0,19.85,1786.18,7020.36
120,2017-01-10,12312.4,CC2,Crítica,10.5,140.07,12606.17,24918.57
121,2019-11-17,3177.42,CC1,Menor,6.5,99.9,8991.14,12168.56
122,2005-04-04,3746.89,Sistema_Auxiliar,Moderada,36.1,87.62,7885.66,11632.56
123,2010-05-17,5765.52,TV,Mayor,44.5,147.1,13239.3,19004.82
124,2007-09-24,8566.87,BESS,Moderada,39.8,45.42,4087.53,12654.4
125,2018-03-19,5329.17,BESS,Menor,42.2,84.56,7610.81,12939.98
126,2007-11-24,4859.16,TV,Menor,15.2,152.05,13684.12,18543.28
127,2014-06-02,5487.54,CC2,Moderada,4.1,53.51,4816.33,10303.87
128,2006-07-17,17241.88,TV,Crítica,33.6,41.68,3751.1,20992.98
129,2014-06-06,11642.34,TV,Crítica,47.9,152.96,13766.09,25408.43
130,2004-10-15,3234.73,CC2,Moderada,24.2,153.38,13804.26,17038.99
131,2005-06-08,10173.15,Sistema_Auxiliar,Crítica,29.4,105.43,9489.13,19662.28
132,2007-09-18,11528.1,BESS,Crítica,37.3,12.32,1108.67,12636.78
133,2018-08-31,9046.13,CC2,Mayor,29.2,167.09,15038.26,24084.39
134,2009-12-26,7083.74,CC2,Moderada,29.9,183.25,16492.68,23576.42
135,2007-07-29,9464.23,BESS,Mayor,44.8,117.38,10563.78,20028.01
136,2003-05-13,7566.0,CC2,Menor,28.1,125.28,11274.83,18840.82
137,2018-01-29,3729.73,CC1,Moderada,43.8,33.33,3000.06,6729.79
138,2004-12-11,7097.83,CC1,Menor,41.9,108.58,9772.13,16869.96
139,2007-05-29,4524.11,Sistema_Auxiliar,Menor,10.7,159.68,14371.21,18895.32
140,2008-10-17,5787.18,CC1,Moderada,44.2,75.81,6822.52,12609.7
141,2017-12-13,8015.18,TV,Mayor,22.3,36.76,3308.66,11323.84
142,2006-06-29,4745.98,CC1,Menor,37.7,62.74,5646.74,10392.72
143,2017-02-18,3397.0,BESS,Menor,8.0,88.78,7990.07,11387.07
144,2007-02-18,5097.17,Sistema_Auxiliar,Moderada,36.2,49.88,4489.39,9586.56
145,2018-11-14,3548.78,Sistema_Auxiliar,Menor,2.7,99.69,8972.34,12521.13
146,2007-01-19,4497.95,TV,Mayor,25.8,111.55,10039.2,14537.14
147,2016-04-23,8422.81,TV,Mayor,5.8,73.53,6617.6,15040.41
148,2006-05-11,7297.11,CC2,Mayor,31.3,87.66,7889.35,15186.47
149,2017-12-15,7612.66,CC1,Mayor,12.9,47.26,4253.53,11866.19
150,2007-02-23,6987.37,Sistema_Auxiliar,Mayor,42.7,115.78,10419.94,17407.31
151,2007-10-18,8463.97,TV,Crítica,19.7,136.94,12324.26,20788.23
152,2013-08-11,6848.31,CC2,Mayor,30.8,149.82,13483.97,20332.28
153,2018-04-22,3416.04,BESS,Menor,20.8,179.61,16164.69,19580.72
154,2014-07-16,7010.54,CC2,Mayor,18.8,122.16,10994.04,18004.58
155,2011-01-20,7369.04,CC1,Moderada,41.5,51.71,4653.63,12022.67
156,2011-10-07,3799.67,TV,Moderada,23.1,44.6,4014.03,7813.7
157,2017-04-25,11856.97,CC1,Crítica,33.8,86.48,7783.61,19640.57
158,2008-09-02,7515.38,BESS,Moderada,25.7,42.62,3835.72,11351.09
159,2004-03-15,8758.09,Sistema_Auxiliar,Moderada,28.1,62.07,5586.34,14344.43
160,2016-06-13,13607.9,CC2,Crítica,10.7,12.09,1088.03,14695.93
161,2005-08-07,5745.51,BESS,Menor,32.3,43.32,3898.85,9644.36
162,2012-07-08,11938.36,CC2,Crítica,46.1,45.03,4052.74,15991.11
163,2003-10-09,6259.95,TV,Crítica,21.5,183.95,16555.28,22815.23
164,2006-08-20,9054.28,CC2,Mayor,32.2,188.0,16919.79,25974.07
165,2004-11-07,5855.96,BESS,Mayor,13.3,123.06,11075.83,16931.79
166,2010-12-03,8416.93,Sistema_Auxiliar,Mayor,16.7,156.47,14082.6,22499.53
167,2008-07-19,4368.62,CC1,Menor,34.1,123.67,11130.69,15499.32
168,2006-10-18,15720.69,Sistema_Auxiliar,Crítica,33.7,61.71,5553.68,21274.37
169,2001-01-12,7184.86,BESS,Mayor,44.1,36.0,3239.6,10424.46
170,2009-02-26,6122.04,BESS,Moderada,46.0,154.09,13868.51,19990.55
171,2016-08-02,8068.72,CC1,Moderada,24.0,52.03,4682.68,12751.4
172,2008-12-30,13840.96,CC2,Crítica,44.5,44.31,3987.84,17828.8
173,2006-09-27,4996.76,CC1,Mayor,44.4,194.5,17505.1,22501.85
174,2017-08-11,9034.3,TV,Moderada,25.6,132.46,11921.75,20956.05
175,2013-06-08,9995.19,BESS,Crítica,23.6,178.15,16033.47,26028.66
176,2010-07-02,10496.52,CC1,Crítica,38.2,70.56,6350.67,16847.18
177,2017-06-10,16563.32,CC2,Crítica,11.9,14.64,1317.25,17880.57
178,2009-02-03,2519.11,Sistema_Auxiliar,Menor,19.0,187.19,16847.29,19366.4
179,2006-10-29,4363.99,CC1,Menor,2.8,101.16,9104.26,13468.25
180,2015-08-24,9888.58,CC2,Moderada,20.6,90.06,8105.2,17993.79
181,2004-03-05,3737.15,TV,Menor,17.7,64.58,5811.79,9548.94
182,2003-05-26,8343.46,CC1,Crítica,1.8,197.67,17790.05,26133.51
183,2008-10-31,10334.54,BESS,Crítica,46.0,161.62,14545.62,24880.16
184,2004-07-16,9876.31,TV,Moderada,29.8,41.74,3756.28,13632.59
185,2019-09-17,3697.36,BESS,Menor,31.5,125.47,11292.3,14989.66
186,2012-11-25,3328.62,CC1,Moderada,2.7,191.88,17269.32,20597.94
187,2005-01-05,2723.92,CC1,Menor,44.6,199.03,17912.92,20636.84
188,2009-06-27,11588.95,CC1,Crítica,43.2,98.04,8823.81,20412.76
189,2012-04-29,6588.08,CC1,Menor,43.1,173.42,15608.17,22196.25
190,2010-04-15,10328.74,TV,Crítica,23.4,18.43,1658.84,11987.58
191,2001-11-28,2598.37,CC1,Menor,35.6,63.46,5711.79,8310.15
192,2014-02-07,8672.9,Sistema_Auxiliar,Crítica,24.3,25.4,2285.89,10958.79
193,2015-10-11,3532.92,CC1,Moderada,24.3,101.31,9118.03,12650.95
194,2018-07-05,12598.62,CC2,Crítica,27.6,60.74,5466.18,18064.8
195,2005-08-04,6865.59,BESS,Menor,8.4,40.48,3642.84,10508.43
196,2012-12-28,4670.83,Sistema_Auxiliar,Moderada,6.0,142.81,12852.74,17523.57
197,2006-05-13,7332.88,CC2,Menor,2.4,166.91,15021.47,22354.34
198,2009-06-09,9622.5,CC2,Crítica,27.1,153.76,13838.47,23460.97
199,2011-10-22,4351.93,Sistema_Auxiliar,Moderada,16.3,116.37,10473.34,14825.27
200,2007-08-11,7327.93,Sistema_Auxiliar,Mayor,7.0,63.84,5745.16,13073.09
201,2006-03-15,7833.39,CC2,Mayor,19.4,44.1,3969.4,11802.8
202,2004-10-04,9560.6,BESS,Moderada,45.5,41.61,3745.06,13305.66
203,2011-07-12,3405.44,TV,Moderada,42.0,194.96,17546.66,20952.1
204,2011-06-13,6026.41,BESS,Menor,19.0,22.47,2022.21,8048.62
205,2000-05-13,7283.69,TV,Mayor,33.1,94.72,8524.94,15808.62
206,2013-08-14,12973.83,CC1,Mayor,22.2,41.09,3697.97,16671.8
207,2010-10-15,3576.67,BESS,Moderada,7.2,174.93,15743.73,19320.4
208,2011-04-02,10554.56,Sistema_Auxiliar,Mayor,46.3,154.42,13897.61,24452.17
209,2004-09-13,4196.16,CC2,Menor,10.4,174.94,15744.9,19941.06
210,2011-10-01,16290.91,TV,Crítica,8.5,48.7,4383.29,20674.21
211,2007-03-20,11116.54,CC2,Crítica,1.8,161.39,14525.24,25641.78
212,2011-06-30,12197.71,CC2,Mayor,9.7,97.8,8801.86,20999.57
213,2013-09-30,13052.06,BESS,Crítica,27.2,52.85,4756.74,17808.8
214,2001-12-10,4826.18,Sistema_Auxiliar,Menor,1.5,23.76,2138.84,6965.02
215,2017-04-05,6442.57,TV,Menor,36.6,191.0,17190.29,23632.86
216,2008-09-23,5090.84,CC1,Menor,5.8,118.47,10662.47,15753.31
217,2014-03-21,11477.69,BESS,Crítica,17.3,157.4,14166.26,25643.95
218,2017-12-19,5299.19,CC1,Menor,17.5,16.31,1467.77,6766.96
219,2019-06-03,5778.46,CC2,Moderada,27.7,141.0,12689.85,18468.31
220,2017-05-23,3520.84,BESS,Menor,45.7,33.6,3024.16,6545.0
221,2005-01-09,9553.49,CC1,Moderada,45.0,190.0,17099.69,26653.18
222,2019-11-14,13114.45,TV,Crítica,27.0,123.52,11116.84,24231.29
223,2002-05-07,6684.82,CC2,Moderada,4.8,21.47,1932.02,8616.84
224,2011-01-25,11833.23,CC2,Mayor,46.9,74.01,6660.92,18494.15
225,2007-08-09,15350.2,TV,Crítica,27.1,146.65,13198.35,28548.55
226,2004-12-17,8836.56,TV,Mayor,4.8,86.62,7795.77,16632.32
227,2014-12-19,8883.17,CC1,Moderada,46.2,89.02,8012.02,16895.18
228,2019-10-20,5421.54,BESS,Moderada,47.4,17.62,1585.87,7007.41
229,2016-04-05,5693.13,CC2,Menor,19.6,125.18,11265.83,16958.95
230,2014-09-19,9860.58,TV,Mayor,14.3,78.24,7041.48,16902.07
231,2002-08-25,8138.9,Sistema_Auxiliar,Mayor,12.1,157.44,14169.6,22308.5
232,2003-08-28,12983.38,CC2,Crítica,18.5,107.4,9665.72,22649.1
233,2004-11-20,3483.93,CC1,Moderada,5.6,86.95,7825.86,11309.79
234,2013-08-19,7169.02,CC2,Mayor,8.7,84.31,7587.49,14756.52
235,2001-06-12,13674.88,CC1,Crítica,29.1,85.37,7682.88,21357.76
236,2014-10-14,4652.35,TV,Moderada,9.0,108.76,9788.13,14440.49
237,2009-11-28,7041.75,CC1,Menor,12.7,127.26,11453.18,18494.93
238,2000-11-08,7504.73,BESS,Crítica,2.7,149.92,13492.47,20997.2
239,2004-07-22,11380.35,CC1,Crítica,38.9,121.22,10909.56,22289.91
240,2014-04-18,6779.34,BESS,Moderada,47.4,33.36,3002.8,9782.14
241,2004-01-20,4370.44,CC1,Mayor,11.6,44.2,3978.18,8348.62
242,2004-06-09,6550.64,BESS,Moderada,19.7,101.18,9106.24,15656.88
243,2010-05-06,7730.15,CC2,Menor,41.8,96.4,8676.05,16406.2
244,2014-06-27,7018.15,BESS,Mayor,2.4,68.51,6165.6,13183.75
245,2015-08-22,6504.23,CC2,Menor,5.4,137.79,12401.5,18905.73
246,2005-01-05,7794.74,CC2,Menor,40.4,189.48,17052.9,24847.65
247,2009-04-24,8476.26,CC2,Crítica,41.6,156.02,14041.68,22517.94
248,2007-12-11,6261.35,CC1,Menor,11.1,135.19,12166.94,18428.29
249,2015-03-10,7040.3,BESS,Moderada,48.0,19.16,1724.43,8764.72
250,2008-06-09,4678.68,Sistema_Auxiliar,Menor,5.3,64.85,5836.52,10515.21
251,2010-11-20,7553.58,BESS,Moderada,21.6,181.26,16313.52,23867.11
252,2012-10-05,4839.27,TV,Menor,6.6,113.45,10210.76,15050.03
253,2014-03-06,7234.8,Sistema_Auxiliar,Mayor,19.3,95.25,8572.66,15807.46
254,2016-08-11,5612.76,BESS,Moderada,4.4,124.66,11218.97,16831.73
255,2013-11-26,10810.03,CC1,Mayor,26.5,190.78,17170.28,27980.32
256,2001-04-27,15653.46,CC1,Crítica,8.0,110.06,9905.27,25558.72
257,2014-10-27,11406.36,TV,Crítica,26.8,151.91,13671.57,25077.94
258,2011-01-21,7866.8,Sistema_Auxiliar,Crítica,45.9,134.39,12095.25,19962.05
259,2018-09-28,4380.08,Sistema_Auxiliar,Moderada,10.1,41.6,3744.27,8124.35
260,2003-02-21,9997.87,Sistema_Auxiliar,Mayor,26.0,120.38,10833.94,20831.81
261,2009-06-07,6410.44,CC1,Menor,20.4,33.16,2984.25,9394.7
262,2010-09-20,10098.17,CC2,Mayor,25.7,144.72,13024.69,23122.86
263,2016-10-24,16963.68,BESS,Crítica,5.1,164.99,14849.3,31812.98
264,2011-06-22,5945.65,TV,Menor,29.3,165.65,14908.13,20853.78
265,2008-01-26,8071.76,CC2,Crítica,20.3,169.57,15261.63,23333.39
266,2007-06-01,7116.13,CC2,Mayor,37.7,62.21,5599.18,12715.32
267,2018-04-10,4772.93,CC2,Menor,5.5,128.53,11567.99,16340.93
268,2000-08-29,5292.15,CC1,Mayor,41.9,99.85,8986.45,14278.61
269,2016-05-29,5697.85,TV,Crítica,10.7,131.21,11809.13,17506.98
270,2008-03-18,7424.11,CC1,Moderada,7.7,62.16,5594.64,13018.75
271,2006-03-26,7730.89,CC2,Moderada,22.0,147.66,13289.24,21020.13
272,2010-10-07,7017.77,TV,Crítica,35.0,119.89,10790.42,17808.18
273,2006-04-19,2844.75,Sistema_Auxiliar,Menor,29.0,86.23,7760.31,10605.06
274,2000-03-10,4387.98,BESS,Menor,25.4,22.85,2056.17,6444.15
275,2004-01-27,9725.53,CC2,Mayor,26.0,71.62,6446.11,16171.64
276,2002-12-08,7686.41,BESS,Moderada,18.1,199.14,17922.72,25609.13
277,2019-09-21,12713.99,CC2,Crítica,46.2,130.64,11757.82,24471.8
278,2014-11-07,8776.03,CC1,Mayor,36.5,76.04,6843.47,15619.5
279,2011-05-16,11138.59,Sistema_Auxiliar,Mayor,19.8,38.96,3506.31,14644.91
280,2004-12-25,6704.16,CC1,Menor,32.6,27.66,2489.09,9193.25
281,2017-08-19,16295.05,Sistema_Auxiliar,Crítica,24.8,40.27,3624.1,19919.14
282,2013-10-19,4097.52,CC2,Menor,17.9,26.65,2398.69,6496.21
283,2008-11-26,15798.6,CC2,Crítica,42.0,40.74,3666.17,19464.77
284,2010-05-23,17901.19,Sistema_Auxiliar,Crítica,10.8,186.81,16813.18,34714.37
285,2009-06-15,8722.15,TV,Moderada,42.3,174.93,15743.77,24465.92
286,2005-03-08,8530.21,BESS,Moderada,4.8,86.57,7790.96,16321.17
287,2001-12-13,7864.66,CC2,Moderada,46.9,131.78,11860.62,19725.28
288,2001-10-08,11439.87,CC1,Crítica,29.5,36.45,3280.29,14720.15
289,2015-11-06,11446.92,BESS,Mayor,45.8,166.79,15010.93,26457.86
290,2012-04-26,3852.33,Sistema_Auxiliar,Moderada,24.8,54.18,4876.63,8728.96
291,2012-01-12,7808.6,BESS,Menor,45.0,176.46,15881.4,23690.0
292,2005-06-09,8122.08,CC2,Crítica,18.1,83.43,7508.48,15630.56
293,2004-09-22,4482.29,TV,Moderada,3.7,142.06,12785.1,17267.39
294,2008-03-23,3355.72,Sistema_Auxiliar,Menor,37.8,60.42,5438.12,8793.85
295,2006-03-21,14114.39,CC1,Crítica,30.8,53.49,4814.1,18928.49
296,2004-12-24,8182.11,Sistema_Auxiliar,Crítica,31.8,171.12,15401.07,23583.18
297,2017-03-04,11108.05,Sistema_Auxiliar,Mayor,18.3,88.68,7981.62,19089.67
298,2013-08-17,5709.55,Sistema_Auxiliar,Moderada,12.7,35.42,3188.04,8897.6
299,2005-03-20,12735.07,CC2,Crítica,26.2,50.89,4579.95,17315.02
300,2017-08-01,3513.6,Sistema_Auxiliar,Menor,3.0,80.57,7251.09,10764.68
301,2016-07-06,13540.74,Sistema_Auxiliar,Crítica,13.5,38.36,3451.97,16992.7
302,2003-02-03,5272.73,BESS,Moderada,23.4,81.42,7327.69,12600.42
303,2019-02-11,6796.09,Sistema_Auxiliar,Menor,45.9,159.51,14356.05,21152.14
304,2008-05-08,6929.75,Sistema_Auxiliar,Menor,40.5,17.3,1557.09,8486.84
305,2007-10-04,15796.67,CC2,Crítica,43.1,130.97,11787.05,27583.72
306,2014-12-09,5303.08,TV,Menor,35.7,107.32,9658.99,14962.08
307,2004-01-08,4279.22,CC1,Mayor,34.7,23.7,2132.64,6411.87
308,2002-06-01,2599.2,BESS,Menor,19.2,97.77,8799.29,11398.49
309,2003-05-19,12733.82,TV,Mayor,37.8,77.42,6967.79,19701.61
310,2004-09-17,7622.12,CC2,Moderada,4.9,107.78,9700.64,17322.76
311,2016-08-10,6781.92,CC1,Menor,19.0,49.08,4417.25,11199.17
312,2016-10-18,5844.07,CC1,Menor,46.1,100.87,9078.17,14922.24
313,2017-09-23,11168.3,BESS,Mayor,47.1,124.36,11192.18,22360.47
314,2015-10-15,9510.15,CC2,Mayor,3.1,31.05,2794.82,12304.96
315,2017-07-02,3665.08,TV,Moderada,21.7,126.46,11381.27,15046.35
316,2019-08-01,7731.88,TV,Moderada,1.6,198.56,17870.3,25602.18
317,2006-09-25,7545.99,CC2,Menor,36.5,97.5,8775.23,16321.21
318,2007-10-29,14578.98,BESS,Crítica,9.3,113.56,10219.96,24798.94
319,2010-12-11,7649.37,Sistema_Auxiliar,Menor,8.7,35.03,3152.56,10801.94
320,2014-10-10,12682.68,TV,Mayor,40.5,149.23,13430.91,26113.59
321,2010-07-08,10665.16,TV,Mayor,6.0,38.8,3491.84,14156.99
322,2006-04-18,9690.25,Sistema_Auxiliar,Mayor,8.6,116.03,10442.52,20132.78
323,2007-05-09,6553.59,TV,Menor,14.1,46.85,4216.61,10770.2
324,2009-12-20,3542.6,CC2,Menor,35.5,127.04,11433.35,14975.95
325,2001-04-22,15275.78,BESS,Crítica,1.2,154.59,13912.94,29188.72
326,2011-07-28,3077.22,CC1,Moderada,36.7,138.89,12500.28,15577.5
327,2015-08-31,7115.03,TV,Menor,6.9,83.22,7489.93,14604.96
328,2003-01-20,8462.8,TV,Moderada,19.4,88.4,7955.83,16418.63
329,2007-12-25,5440.55,BESS,Crítica,38.3,27.67,2490.14,7930.69
330,2006-01-04,11827.38,TV,Crítica,5.9,52.83,4755.0,16582.39
