ID_Registro,Fecha,Generacion_MW,Eficiencia_Pct,Estado_Operacional,Es_Falla,Tipo_Combustible,Costo_Combustible_USD,Presion_Vapor_Bar,Ciclo_Simulacion
27,2000-01-27,519.38,73.67,NORMAL,0,Gas_Natural,228969.85,156.6,TV_Ciclo_1
28,2000-01-28,417.11,59.16,NORMAL,0,Gas_Natural,208085.8,174.5,TV_Ciclo_1
29,2000-01-29,462.83,65.65,NORMAL,0,Gas_Natural,226828.18,160.3,TV_Ciclo_1
30,2000-01-30,478.15,67.82,NORMAL,0,Gas_Natural,290130.14,142.1,TV_Ciclo_1
31,2000-01-31,554.54,78.66,NORMAL,0,Gas_Natural,350730.82,139.2,TV_Ciclo_1
32,2000-02-01,433.87,61.54,NORMAL,0,Gas_Natural,248961.07,160.7,TV_Ciclo_1
33,2000-02-02,564.29,80.04,FALLA,1,Gas_Natural,331147.63,130.5,TV_Ciclo_1
34,2000-02-03,514.21,72.94,NORMAL,0,Gas_Natural,337739.7,128.3,TV_Ciclo_1
35,2000-02-04,464.04,65.82,NORMAL,0,Gas_Natural,291480.83,153.3,TV_Ciclo_1
36,2000-02-05,457.11,64.84,NORMAL,0,Gas_Natural,207686.12,173.8,TV_Ciclo_1
37,2000-02-06,548.03,77.73,NORMAL,0,Gas_Natural,332229.42,173.8,TV_Ciclo_1
38,2000-02-07,580.67,82.36,NORMAL,0,Gas_Natural,340323.38,125.0,TV_Ciclo_1
39,2000-02-08,637.32,90.4,NORMAL,0,Gas_Natural,276098.15,129.6,TV_Ciclo_1
40,2000-02-09,571.11,81.01,NORMAL,0,Gas_Natural,336082.15,133.5,TV_Ciclo_1
41,2000-02-10,499.05,70.79,NORMAL,0,Gas_Natural,293397.86,171.0,TV_Ciclo_1
42,2000-02-11,540.44,76.66,NORMAL,0,Gas_Natural,245622.36,142.1,TV_Ciclo_1
43,2000-02-12,478.38,67.85,NORMAL,0,Gas_Natural,309074.74,157.9,TV_Ciclo_1
44,2000-02-13,546.08,77.46,NORMAL,0,Gas_Natural,311514.7,149.6,TV_Ciclo_1
45,2000-02-14,571.8,81.11,NORMAL,0,Gas_Natural,376080.2,177.2,TV_Ciclo_1
46,2000-02-15,517.8,73.45,NORMAL,0,Gas_Natural,225611.26,175.7,TV_Ciclo_1
47,2000-02-16,632.65,89.74,NORMAL,0,Gas_Natural,402537.96,139.0,TV_Ciclo_1
48,2000-02-17,525.27,74.51,NORMAL,0,Gas_Natural,344934.49,161.8,TV_Ciclo_1
49,2000-02-18,446.66,63.36,NORMAL,0,Gas_Natural,287007.45,164.4,TV_Ciclo_1
50,2000-02-19,565.86,80.26,NORMAL,0,Gas_Natural,293272.44,137.6,TV_Ciclo_1
51,2000-02-20,620.74,88.05,NORMAL,0,Gas_Natural,387090.11,159.0,TV_Ciclo_1
52,2000-02-21,677.49,96.1,NORMAL,0,Gas_Natural,437388.63,140.3,TV_Ciclo_1
53,2000-02-22,436.13,61.86,NORMAL,0,Gas_Natural,237141.97,152.6,TV_Ciclo_1
54,2000-02-23,561.93,79.71,NORMAL,0,Gas_Natural,246867.6,122.2,TV_Ciclo_1
55,2000-02-24,507.96,72.05,NORMAL,0,Gas_Natural,313306.1,132.9,TV_Ciclo_1
56,2000-02-25,423.46,60.06,NORMAL,0,Gas_Natural,188185.68,151.9,TV_Ciclo_1
57,2000-02-26,534.85,75.86,NORMAL,0,Gas_Natural,333125.68,136.2,TV_Ciclo_1
58,2000-02-27,444.61,63.07,NORMAL,0,Gas_Natural,194776.19,177.8,TV_Ciclo_1
59,2000-02-28,563.31,79.9,NORMAL,0,Gas_Natural,264500.77,135.0,TV_Ciclo_1
60,2000-02-29,583.23,82.73,NORMAL,0,Gas_Natural,344366.45,136.8,TV_Ciclo_1
61,2000-03-01,632.87,89.77,NORMAL,0,Gas_Natural,337132.67,134.9,TV_Ciclo_1
62,2000-03-02,617.9,87.65,NORMAL,0,Gas_Natural,269066.11,127.0,TV_Ciclo_1
63,2000-03-03,587.93,83.39,FALLA,1,Gas_Natural,267789.08,149.5,TV_Ciclo_1
64,2000-03-04,496.99,70.5,NORMAL,0,Gas_Natural,266449.28,143.9,TV_Ciclo_1
65,2000-03-05,568.44,80.63,NORMAL,0,Gas_Natural,330951.21,150.2,TV_Ciclo_1
66,2000-03-06,567.86,80.55,NORMAL,0,Gas_Natural,267522.73,124.2,TV_Ciclo_1
67,2000-03-07,440.82,62.53,NORMAL,0,Gas_Natural,251315.73,143.3,TV_Ciclo_1
68,2000-03-08,531.88,75.44,NORMAL,0,Gas_Natural,299422.06,176.5,TV_Ciclo_1
69,2000-03-09,637.87,90.48,NORMAL,0,Gas_Natural,324388.99,170.7,TV_Ciclo_1
70,2000-03-10,595.94,84.53,FALLA,1,Gas_Natural,373933.9,136.9,TV_Ciclo_1
71,2000-03-11,601.29,85.29,NORMAL,0,Gas_Natural,365834.3,168.2,TV_Ciclo_1
72,2000-03-12,469.81,66.64,NORMAL,0,Gas_Natural,287594.69,168.4,TV_Ciclo_1
73,2000-03-13,541.99,76.88,NORMAL,0,Gas_Natural,278472.37,175.8,TV_Ciclo_1
74,2000-03-14,512.16,72.65,NORMAL,0,Gas_Natural,313547.26,165.3,TV_Ciclo_1
75,2000-03-15,656.48,93.12,NORMAL,0,Gas_Natural,334023.59,173.7,TV_Ciclo_1
76,2000-03-16,425.9,60.41,NORMAL,0,Gas_Natural,276532.97,125.5,TV_Ciclo_1
77,2000-03-17,645.78,91.6,NORMAL,0,Gas_Natural,376902.38,146.9,TV_Ciclo_1
78,2000-03-18,510.18,72.37,NORMAL,0,Gas_Natural,302741.07,165.1,TV_Ciclo_1
79,2000-03-19,606.48,86.03,NORMAL,0,Gas_Natural,270379.22,153.0,TV_Ciclo_1
80,2000-03-20,613.37,87.0,NORMAL,0,Gas_Natural,316635.58,127.0,TV_Ciclo_1
81,2000-03-21,585.37,83.03,NORMAL,0,Gas_Natural,264693.86,162.1,TV_Ciclo_1
82,2000-03-22,618.59,87.74,NORMAL,0,Gas_Natural,372082.0,124.9,TV_Ciclo_1
83,2000-03-23,626.48,88.86,NORMAL,0,Gas_Natural,392845.61,176.8,TV_Ciclo_1
84,2000-03-24,572.94,81.27,NORMAL,0,Gas_Natural,299247.4,125.0,TV_Ciclo_1
85,2000-03-25,568.35,80.62,NORMAL,0,Gas_Natural,260695.27,149.6,TV_Ciclo_1
86,2000-03-26,589.32,83.59,FALLA,1,Gas_Natural,320872.7,123.4,TV_Ciclo_1
87,2000-03-27,473.22,67.12,NORMAL,0,Gas_Natural,270687.56,177.7,TV_Ciclo_1
88,2000-03-28,503.35,71.4,NORMAL,0,Gas_Natural,322375.18,133.4,TV_Ciclo_1
89,2000-03-29,427.08,60.58,NORMAL,0,Gas_Natural,286277.65,124.4,TV_Ciclo_1
90,2000-03-30,666.21,94.5,NORMAL,0,Gas_Natural,371441.78,157.8,TV_Ciclo_1
91,2000-03-31,550.36,78.06,NORMAL,0,Gas_Natural,356783.89,122.7,TV_Ciclo_1
92,2000-04-01,676.8,96.0,NORMAL,0,Gas_Natural,436986.74,147.3,TV_Ciclo_1
93,2000-04-02,484.69,68.75,NORMAL,0,Gas_Natural,250491.9,155.0,TV_Ciclo_1
94,2000-04-03,625.3,88.7,NORMAL,0,Gas_Natural,418133.5,161.9,TV_Ciclo_1
95,2000-04-04,505.3,71.67,NORMAL,0,Gas_Natural,238008.53,174.7,TV_Ciclo_1
96,2000-04-05,661.44,93.82,NORMAL,0,Gas_Natural,400947.09,156.8,TV_Ciclo_1
97,2000-04-06,638.67,90.59,NORMAL,0,Gas_Natural,400150.39,179.2,TV_Ciclo_1
98,2000-04-07,556.14,78.89,NORMAL,0,Gas_Natural,291093.72,178.2,TV_Ciclo_1
99,2000-04-08,573.9,81.4,NORMAL,0,Gas_Natural,285581.01,123.4,TV_Ciclo_1
100,2000-04-09,595.9,84.52,NORMAL,0,Gas_Natural,400403.17,179.8,TV_Ciclo_1
101,2000-04-10,596.27,84.58,NORMAL,0,Gas_Natural,276072.2,177.2,TV_Ciclo_1
102,2000-04-11,447.41,63.46,NORMAL,0,Gas_Natural,265406.98,157.1,TV_Ciclo_1
103,2000-04-12,453.78,64.37,NORMAL,0,Gas_Natural,280144.72,151.2,TV_Ciclo_1
104,2000-04-13,588.25,83.44,NORMAL,0,Gas_Natural,333319.66,172.6,TV_Ciclo_1
105,2000-04-14,480.98,68.22,NORMAL,0,Gas_Natural,232367.62,128.2,TV_Ciclo_1
106,2000-04-15,608.0,86.24,FALLA,1,Gas_Natural,313814.18,155.4,TV_Ciclo_1
107,2000-04-16,519.93,73.75,NORMAL,0,Gas_Natural,288746.58,167.0,TV_Ciclo_1
108,2000-04-17,580.64,82.36,NORMAL,0,Gas_Natural,371012.67,177.0,TV_Ciclo_1
109,2000-04-18,607.91,86.23,NORMAL,0,Gas_Natural,329604.14,178.8,TV_Ciclo_1
110,2000-04-19,498.48,70.71,NORMAL,0,Gas_Natural,291122.85,134.4,TV_Ciclo_1
111,2000-04-20,459.58,65.19,NORMAL,0,Gas_Natural,218601.04,140.7,TV_Ciclo_1
112,2000-04-21,516.35,73.24,NORMAL,0,Gas_Natural,305789.23,130.3,TV_Ciclo_1
113,2000-04-22,422.96,59.99,NORMAL,0,Gas_Natural,200688.76,125.3,TV_Ciclo_1
114,2000-04-23,515.93,73.18,NORMAL,0,Gas_Natural,248429.92,141.9,TV_Ciclo_1
115,2000-04-24,571.03,81.0,NORMAL,0,Gas_Natural,366403.45,175.3,TV_Ciclo_1
116,2000-04-25,491.27,69.68,NORMAL,0,Gas_Natural,307281.9,164.9,TV_Ciclo_1
117,2000-04-26,466.75,66.21,NORMAL,0,Gas_Natural,270895.33,142.1,TV_Ciclo_1
118,2000-04-27,555.46,78.79,NORMAL,0,Gas_Natural,244850.97,135.1,TV_Ciclo_1
119,2000-04-28,686.69,97.4,NORMAL,0,Gas_Natural,314312.5,146.8,TV_Ciclo_1
120,2000-04-29,499.56,70.86,NORMAL,0,Gas_Natural,248092.22,142.6,TV_Ciclo_1
121,2000-04-30,573.1,81.29,FALLA,1,Gas_Natural,292623.1,127.2,TV_Ciclo_1
122,2000-05-01,549.32,77.92,NORMAL,0,Gas_Natural,326837.25,167.4,TV_Ciclo_1
123,2000-05-02,485.96,68.93,NORMAL,0,Gas_Natural,296875.58,145.9,TV_Ciclo_1
124,2000-05-03,507.28,71.95,NORMAL,0,Gas_Natural,263350.28,158.8,TV_Ciclo_1
125,2000-05-04,506.34,71.82,NORMAL,0,Gas_Natural,247569.18,126.1,TV_Ciclo_1
126,2000-05-05,482.51,68.44,NORMAL,0,Gas_Natural,227053.79,131.2,TV_Ciclo_1
127,2000-05-06,418.29,59.33,NORMAL,0,Gas_Natural,279319.0,126.7,TV_Ciclo_1
128,2000-05-07,660.87,93.74,NORMAL,0,Gas_Natural,422773.43,169.0,TV_Ciclo_1
129,2000-05-08,472.27,66.99,NORMAL,0,Gas_Natural,267124.95,154.3,TV_Ciclo_1
130,2000-05-09,605.76,85.92,NORMAL,0,Gas_Natural,288880.04,139.4,TV_Ciclo_1
131,2000-05-10,532.84,75.58,NORMAL,0,Gas_Natural,308274.18,137.3,TV_Ciclo_1
132,2000-05-11,453.39,64.31,NORMAL,0,Gas_Natural,248219.94,152.0,TV_Ciclo_1
133,2000-05-12,576.71,81.8,FALLA,1,Gas_Natural,257911.62,179.4,TV_Ciclo_1
134,2000-05-13,604.5,85.74,NORMAL,0,Gas_Natural,298084.94,160.9,TV_Ciclo_1
135,2000-05-14,517.09,73.35,NORMAL,0,Gas_Natural,266675.8,175.8,TV_Ciclo_1
136,2000-05-15,633.17,89.81,NORMAL,0,Gas_Natural,292417.47,163.9,TV_Ciclo_1
137,2000-05-16,466.72,66.2,NORMAL,0,Gas_Natural,265972.8,170.5,TV_Ciclo_1
138,2000-05-17,605.22,85.85,NORMAL,0,Gas_Natural,290740.41,129.8,TV_Ciclo_1
139,2000-05-18,617.73,87.62,NORMAL,0,Gas_Natural,320056.16,172.6,TV_Ciclo_1
140,2000-05-19,650.34,92.25,NORMAL,0,Gas_Natural,349487.26,142.6,TV_Ciclo_1
141,2000-05-20,493.45,69.99,NORMAL,0,Gas_Natural,240669.47,174.0,TV_Ciclo_1
142,2000-05-21,579.63,82.22,NORMAL,0,Gas_Natural,376502.82,157.5,TV_Ciclo_1
143,2000-05-22,615.04,87.24,NORMAL,0,Gas_Natural,286253.96,167.6,TV_Ciclo_1
144,2000-05-23,567.7,80.52,NORMAL,0,Gas_Natural,367035.73,167.3,TV_Ciclo_1
145,2000-05-24,510.47,72.41,NORMAL,0,Gas_Natural,224630.39,154.2,TV_Ciclo_1
146,2000-05-25,611.57,86.75,NORMAL,0,Gas_Natural,314407.91,169.3,TV_Ciclo_1
147,2000-05-26,615.07,87.24,NORMAL,0,Gas_Natural,383404.04,129.0,TV_Ciclo_1
148,2000-05-27,573.41,81.34,NORMAL,0,Gas_Natural,346806.0,158.5,TV_Ciclo_1
149,2000-05-28,535.34,75.93,NORMAL,0,Gas_Natural,254597.25,174.5,TV_Ciclo_1
150,2000-05-29,493.85,70.05,NORMAL,0,Gas_Natural,268104.31,176.8,TV_Ciclo_1
151,2000-05-30,603.41,85.59,NORMAL,0,Gas_Natural,263295.77,172.3,TV_Ciclo_1
152,2000-05-31,556.8,78.98,NORMAL,0,Gas_Natural,333634.97,175.3,TV_Ciclo_1
153,2000-06-01,492.36,69.84,NORMAL,0,Gas_Natural,262820.0,164.2,TV_Ciclo_1
154,2000-06-02,662.55,93.98,NORMAL,0,Gas_Natural,357911.05,126.8,TV_Ciclo_1
155,2000-06-03,619.17,87.83,NORMAL,0,Gas_Natural,355346.99,143.9,TV_Ciclo_1
156,2000-06-04,611.9,86.79,FALLA,1,Gas_Natural,313564.19,168.2,TV_Ciclo_1
157,2000-06-05,573.98,81.42,FALLA,1,Gas_Natural,321989.59,175.2,TV_Ciclo_1
158,2000-06-06,473.93,67.22,NORMAL,0,Gas_Natural,288624.27,147.1,TV_Ciclo_1
159,2000-06-07,523.84,74.3,NORMAL,0,Gas_Natural,288952.64,145.1,TV_Ciclo_1
160,2000-06-08,502.4,71.26,NORMAL,0,Gas_Natural,287042.92,157.9,TV_Ciclo_1
161,2000-06-09,573.89,81.4,FALLA,1,Gas_Natural,380292.51,128.9,TV_Ciclo_1
162,2000-06-10,452.16,64.14,NORMAL,0,Gas_Natural,303510.07,150.1,TV_Ciclo_1
163,2000-06-11,424.52,60.22,NORMAL,0,Gas_Natural,274890.43,132.3,TV_Ciclo_1
164,2000-06-12,443.64,62.93,NORMAL,0,Gas_Natural,241915.33,153.9,TV_Ciclo_1
165,2000-06-13,628.42,89.14,NORMAL,0,Gas_Natural,337954.16,144.0,TV_Ciclo_1
166,2000-06-14,411.25,58.33,NORMAL,0,Gas_Natural,195615.51,171.7,TV_Ciclo_1
167,2000-06-15,524.85,74.45,NORMAL,0,Gas_Natural,278220.17,121.5,TV_Ciclo_1
168,2000-06-16,565.69,80.24,NORMAL,0,Gas_Natural,333839.19,121.6,TV_Ciclo_1
169,2000-06-17,478.54,67.88,NORMAL,0,Gas_Natural,227233.63,159.2,TV_Ciclo_1
170,2000-06-18,443.79,62.95,NORMAL,0,Gas_Natural,217616.88,163.3,TV_Ciclo_1
171,2000-06-19,645.79,91.6,NORMAL,0,Gas_Natural,310749.69,137.6,TV_Ciclo_1
172,2000-06-20,407.9,57.86,NORMAL,0,Gas_Natural,184582.52,132.5,TV_Ciclo_1
173,2000-06-21,598.07,84.83,FALLA,1,Gas_Natural,318856.38,173.6,TV_Ciclo_1
174,2000-06-22,480.0,68.09,NORMAL,0,Gas_Natural,237247.44,142.8,TV_Ciclo_1
175,2000-06-23,462.32,65.58,NORMAL,0,Gas_Natural,260974.09,146.2,TV_Ciclo_1
176,2000-06-24,675.24,95.78,NORMAL,0,Gas_Natural,415454.24,128.4,TV_Ciclo_1
177,2000-06-25,538.46,76.38,NORMAL,0,Gas_Natural,287563.61,121.3,TV_Ciclo_1
178,2000-06-26,551.72,78.26,NORMAL,0,Gas_Natural,322221.7,135.5,TV_Ciclo_1
179,2000-06-27,617.58,87.6,NORMAL,0,Gas_Natural,292239.94,136.3,TV_Ciclo_1
180,2000-06-28,598.46,84.89,FALLA,1,Gas_Natural,389853.52,127.1,TV_Ciclo_1
181,2000-06-29,522.86,74.16,NORMAL,0,Gas_Natural,329996.38,132.4,TV_Ciclo_1
182,2000-06-30,605.12,85.83,FALLA,1,Gas_Natural,281290.02,174.0,TV_Ciclo_1
183,2000-07-01,591.97,83.97,NORMAL,0,Gas_Natural,280644.96,174.9,TV_Ciclo_1
184,2000-07-02,530.4,75.23,NORMAL,0,Gas_Natural,295186.63,122.8,TV_Ciclo_1
185,2000-07-03,598.07,84.83,NORMAL,0,Gas_Natural,293580.57,143.4,TV_Ciclo_1
186,2000-07-04,492.15,69.81,NORMAL,0,Gas_Natural,297539.85,137.8,TV_Ciclo_1
187,2000-07-05,542.63,76.97,NORMAL,0,Gas_Natural,329821.63,132.9,TV_Ciclo_1
188,2000-07-06,595.53,84.47,FALLA,1,Gas_Natural,294752.17,155.7,TV_Ciclo_1
189,2000-07-07,638.28,90.54,FALLA,1,Gas_Natural,326939.63,166.3,TV_Ciclo_1
190,2000-07-08,438.75,62.23,NORMAL,0,Gas_Natural,266219.32,149.7,TV_Ciclo_1
191,2000-07-09,536.9,76.16,NORMAL,0,Gas_Natural,334951.65,161.7,TV_Ciclo_1
192,2000-07-10,550.19,78.04,NORMAL,0,Gas_Natural,285348.53,125.5,TV_Ciclo_1
193,2000-07-11,453.49,64.32,NORMAL,0,Gas_Natural,216057.61,152.5,TV_Ciclo_1
194,2000-07-12,604.52,85.75,NORMAL,0,Gas_Natural,378175.04,159.5,TV_Ciclo_1
195,2000-07-13,619.3,87.84,NORMAL,0,Gas_Natural,300417.56,179.3,TV_Ciclo_1
196,2000-07-14,402.28,57.06,NORMAL,0,Gas_Natural,241903.47,175.5,TV_Ciclo_1
197,2000-07-15,535.67,75.98,NORMAL,0,Gas_Natural,350252.8,178.3,TV_Ciclo_1
198,2000-07-16,552.28,78.34,NORMAL,0,Gas_Natural,352848.02,170.7,TV_Ciclo_1
199,2000-07-17,617.58,87.6,NORMAL,0,Gas_Natural,300885.0,127.2,TV_Ciclo_1
200,2000-07-18,576.67,81.8,NORMAL,0,Gas_Natural,296160.73,163.5,TV_Ciclo_1
201,2000-07-19,522.4,74.1,NORMAL,0,Gas_Natural,265639.65,157.6,TV_Ciclo_1
202,2000-07-20,569.82,80.83,NORMAL,0,Gas_Natural,278020.33,121.5,TV_Ciclo_1
203,2000-07-21,429.43,60.91,NORMAL,0,Gas_Natural,282296.71,167.9,TV_Ciclo_1
204,2000-07-22,523.77,74.29,NORMAL,0,Gas_Natural,322708.97,144.1,TV_Ciclo_1
205,2000-07-23,560.97,79.57,NORMAL,0,Gas_Natural,299067.57,164.3,TV_Ciclo_1
206,2000-07-24,474.86,67.36,NORMAL,0,Gas_Natural,245555.94,137.2,TV_Ciclo_1
207,2000-07-25,476.72,67.62,NORMAL,0,Gas_Natural,249917.29,160.8,TV_Ciclo_1
208,2000-07-26,648.22,91.95,NORMAL,0,Gas_Natural,402367.63,125.4,TV_Ciclo_1
209,2000-07-27,626.64,88.88,NORMAL,0,Gas_Natural,362959.62,130.0,TV_Ciclo_1
210,2000-07-28,489.05,69.37,NORMAL,0,Gas_Natural,321916.74,159.0,TV_Ciclo_1
211,2000-07-29,530.8,75.29,NORMAL,0,Gas_Natural,257392.65,131.2,TV_Ciclo_1
212,2000-07-30,494.9,70.2,NORMAL,0,Gas_Natural,220666.54,178.1,TV_Ciclo_1
213,2000-07-31,664.41,94.24,NORMAL,0,Gas_Natural,398011.84,129.2,TV_Ciclo_1
214,2000-08-01,464.94,65.95,NORMAL,0,Gas_Natural,225830.2,152.2,TV_Ciclo_1
215,2000-08-02,546.93,77.58,NORMAL,0,Gas_Natural,352931.65,177.3,TV_Ciclo_1
216,2000-08-03,604.36,85.72,NORMAL,0,Gas_Natural,356121.23,153.1,TV_Ciclo_1
217,2000-08-04,493.2,69.96,NORMAL,0,Gas_Natural,298691.52,149.8,TV_Ciclo_1
218,2000-08-05,461.07,65.4,NORMAL,0,Gas_Natural,274788.8,124.6,TV_Ciclo_1
219,2000-08-06,583.68,82.79,NORMAL,0,Gas_Natural,367674.1,140.9,TV_Ciclo_1
220,2000-08-07,545.06,77.31,NORMAL,0,Gas_Natural,270398.01,172.7,TV_Ciclo_1
221,2000-08-08,590.96,83.82,NORMAL,0,Gas_Natural,354215.88,160.8,TV_Ciclo_1
222,2000-08-09,607.25,86.13,NORMAL,0,Gas_Natural,285447.32,172.9,TV_Ciclo_1
223,2000-08-10,426.8,60.54,NORMAL,0,Gas_Natural,218702.58,164.6,TV_Ciclo_1
224,2000-08-11,615.94,87.37,NORMAL,0,Gas_Natural,389097.37,150.4,TV_Ciclo_1
225,2000-08-12,606.92,86.09,FALLA,1,Gas_Natural,405109.5,157.9,TV_Ciclo_1
226,2000-08-13,543.69,77.12,NORMAL,0,Gas_Natural,305335.72,166.8,TV_Ciclo_1
227,2000-08-14,609.74,86.49,NORMAL,0,Gas_Natural,313435.17,158.0,TV_Ciclo_1
228,2000-08-15,447.71,63.51,NORMAL,0,Gas_Natural,294117.65,161.3,TV_Ciclo_1
229,2000-08-16,486.49,69.01,NORMAL,0,Gas_Natural,278134.19,140.8,TV_Ciclo_1
230,2000-08-17,436.79,61.96,NORMAL,0,Gas_Natural,280053.18,178.4,TV_Ciclo_1
231,2000-08-18,604.01,85.68,NORMAL,0,Gas_Natural,264498.4,121.3,TV_Ciclo_1
232,2000-08-19,527.22,74.78,NORMAL,0,Gas_Natural,325239.82,161.0,TV_Ciclo_1
233,2000-08-20,464.52,65.89,NORMAL,0,Gas_Natural,289282.82,161.6,TV_Ciclo_1
234,2000-08-21,438.97,62.26,NORMAL,0,Gas_Natural,261325.54,159.3,TV_Ciclo_1
235,2000-08-22,640.21,90.81,NORMAL,0,Gas_Natural,421560.96,145.2,TV_Ciclo_1
236,2000-08-23,494.86,70.19,NORMAL,0,Gas_Natural,246344.62,179.0,TV_Ciclo_1
237,2000-08-24,618.22,87.69,NORMAL,0,Gas_Natural,271688.95,159.1,TV_Ciclo_1
238,2000-08-25,612.05,86.82,NORMAL,0,Gas_Natural,333915.68,178.1,TV_Ciclo_1
239,2000-08-26,637.82,90.47,NORMAL,0,Gas_Natural,404857.53,165.7,TV_Ciclo_1
240,2000-08-27,466.54,66.18,NORMAL,0,Gas_Natural,205187.15,175.3,TV_Ciclo_1
241,2000-08-28,589.76,83.65,NORMAL,0,Gas_Natural,272496.1,161.1,TV_Ciclo_1
242,2000-08-29,468.76,66.49,NORMAL,0,Gas_Natural,257807.84,123.9,TV_Ciclo_1
243,2000-08-30,474.16,67.26,NORMAL,0,Gas_Natural,256639.59,120.7,TV_Ciclo_1
244,2000-08-31,532.24,75.49,NORMAL,0,Gas_Natural,291232.36,156.0,TV_Ciclo_1
245,2000-09-01,591.39,83.88,NORMAL,0,Gas_Natural,261101.91,148.8,TV_Ciclo_1
246,2000-09-02,487.93,69.21,NORMAL,0,Gas_Natural,326328.09,128.5,TV_Ciclo_1
247,2000-09-03,576.26,81.74,NORMAL,0,Gas_Natural,250296.49,139.6,TV_Ciclo_1
248,2000-09-04,475.51,67.45,NORMAL,0,Gas_Natural,245435.43,122.0,TV_Ciclo_1
249,2000-09-05,518.86,73.6,NORMAL,0,Gas_Natural,310005.06,168.0,TV_Ciclo_1
250,2000-09-06,442.84,62.81,NORMAL,0,Gas_Natural,202419.34,158.2,TV_Ciclo_1
251,2000-09-07,462.96,65.67,NORMAL,0,Gas_Natural,296775.11,162.8,TV_Ciclo_1
252,2000-09-08,508.42,72.12,NORMAL,0,Gas_Natural,319060.39,124.8,TV_Ciclo_1
253,2000-09-09,546.83,77.57,NORMAL,0,Gas_Natural,320695.65,151.6,TV_Ciclo_1
254,2000-09-10,465.7,66.06,NORMAL,0,Gas_Natural,207928.82,134.8,TV_Ciclo_1
255,2000-09-11,607.25,86.14,NORMAL,0,Gas_Natural,377423.95,159.5,TV_Ciclo_1
256,2000-09-12,542.68,76.98,NORMAL,0,Gas_Natural,328107.67,133.7,TV_Ciclo_1
257,2000-09-13,629.48,89.29,NORMAL,0,Gas_Natural,374703.8,124.3,TV_Ciclo_1
258,2000-09-14,602.36,85.44,FALLA,1,Gas_Natural,297470.32,147.8,TV_Ciclo_1
259,2000-09-15,583.48,82.76,NORMAL,0,Gas_Natural,300505.68,142.3,TV_Ciclo_1
260,2000-09-16,460.66,65.34,NORMAL,0,Gas_Natural,294864.76,154.7,TV_Ciclo_1
